subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.579962,True
1,D2,arguments,2,,1,0.249835,False
1,D2,arguments,3,,1,-0.061027,False
1,D2,arguments,4,,1,0.261360,False
1,D2,arguments,5,,1,0.236112,False
1,D2,arguments,6,,1,0.342326,False
1,D3,outcomes,1,,3,0.804829,True
1,D3,outcomes,2,,2,0.787809,True
1,D3,outcomes,3,,3,0.223376,False
1,D3,outcomes,4,,3,0.308627,False
1,D3,outcomes,5,,2,0.406688,True
1,D3,outcomes,6,,2,0.406688,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.637959,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.290606,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.396742,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.553001,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.480296,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.143804,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.093525,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.305329,False
2,D2,arguments,1,,1,0.639906,True
2,D2,arguments,2,,1,0.224286,False
2,D2,arguments,3,,1,0.027445,False
2,D2,arguments,4,,1,0.751701,True
2,D3,outcomes,1,,1,0.303544,False
2,D3,outcomes,2,,1,0.217856,False
2,D3,outcomes,3,,1,0.614301,True
2,D3,outcomes,4,,1,0.701654,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.369498,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.339931,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.195700,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.151679,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.284686,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.625245,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.545621,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.259338,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.309179,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.329983,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.380775,True
2,D1,required_precondition_coverage,12,gt_precondition,1,0.125759,False
