subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.000000,False
1,D1,outcomes,2,,1,0.500000,False
1,D1,outcomes,3,,1,0.143187,False
1,D1,outcomes,4,,1,0.198996,False
1,D1,outcomes,5,,1,1.000000,True
1,D1,outcomes,6,,1,1.000000,True
1,D3,arguments,1,,1,0.500000,False
1,D3,arguments,2,,1,0.187276,False
1,D3,arguments,3,,1,-0.015795,False
1,D3,arguments,4,,1,0.264297,False
1,D3,arguments,5,,1,0.197778,False
1,D3,arguments,6,,1,0.242837,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,3,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,4,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.212261,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.116444,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,outcomes,1,,1,0.000000,False
2,D1,outcomes,2,,1,0.212652,False
2,D1,outcomes,3,,1,0.000000,False
2,D1,outcomes,4,,1,0.000000,False
2,D3,arguments,1,,1,0.180977,False
2,D3,arguments,2,,1,0.182641,False
2,D3,arguments,3,,1,0.500000,False
2,D3,arguments,4,,1,0.125383,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.117828,False
