subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,8,0.514751,True
1,D1,outcomes,2,,8,0.426392,True
1,D1,outcomes,3,,3,0.246645,False
1,D1,outcomes,4,,7,0.232172,False
1,D1,outcomes,5,,8,0.569309,True
1,D1,outcomes,6,,8,0.569309,True
1,D3,arguments,1,,1,0.025708,False
1,D3,arguments,2,,1,0.078710,False
1,D3,arguments,3,,1,1.000000,True
1,D3,arguments,4,,1,0.157305,False
1,D3,arguments,5,,1,-0.112936,False
1,D3,arguments,6,,1,0.009087,False
1,D4,required_precondition_coverage,1,gt_precondition,3,0.606731,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.553066,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.896349,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.744860,True
1,D4,required_precondition_coverage,6,gt_precondition,7,0.325399,False
1,D4,required_precondition_coverage,7,gt_precondition,3,0.150525,False
1,D4,required_precondition_coverage,8,gt_precondition,3,0.464974,True
2,D1,outcomes,1,,6,0.622440,True
2,D1,outcomes,2,,4,0.232581,False
2,D1,outcomes,3,,2,0.619843,True
2,D1,outcomes,4,,1,0.701654,True
2,D3,arguments,1,,10,0.607783,True
2,D3,arguments,2,,6,0.425544,True
2,D3,arguments,3,,3,0.201577,False
2,D3,arguments,4,,10,0.650975,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.490172,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,True
2,D4,required_precondition_coverage,3,previous_outcome,2,0.207973,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.223191,False
2,D4,required_precondition_coverage,5,previous_outcome,2,0.305505,False
2,D4,required_precondition_coverage,6,previous_outcome,2,0.728750,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.727945,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.386343,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.539124,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.480851,True
