subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.856242,True
1,D3,arguments,1,,1,0.624386,True
1,D4,required_precondition_coverage,1,global_assumption,1,0.811422,True
1,D4,required_precondition_coverage,2,local_assumption,1,0.933150,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.866810,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.927608,True
2,D1,outcomes,1,,1,0.842946,True
2,D3,arguments,1,,1,0.551296,True
2,D4,required_precondition_coverage,1,global_assumption,1,0.853292,True
2,D4,required_precondition_coverage,2,local_assumption,1,1.000000,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.526750,True
2,D4,required_precondition_coverage,4,gt_precondition,1,0.782454,True
2,D4,required_precondition_coverage,5,gt_precondition,1,0.989610,True
