source_file,language,pc,exercise,subquestion_index,field,atom_path,statement_type,text
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[1],formula,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\)."
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[1]/list[1],semantic_text,Independence of \(X_s\) and \(X_t - X_s\)
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[1]/list[1],formula,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[2],semantic_text,Standard Brownian motion has Gaussian increments
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[2],formula,"\(X_0 = 0\),"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[1]/list[2],semantic_text,a linear combination of independent Gaussian increments thus it is Gaussian
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[1]/list[2],semantic_text,The process is therefore centered Gaussian
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[1],formula,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[1],formula,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\)."
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[1],generic_argument,Calculation
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[1],semantic_text,"disjoint increments are uncorrelated, hence independent"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[2],semantic_text,Compute the variance of an increment of $X$
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[2],semantic_text,thus the law depends only on \(t-s\)
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[2],semantic_text,This shows that the increments are stationary
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[2],formula,"and have law \(\mathcal{N}(0, t-s)\)."
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[3]/tuple[1],semantic_text,disjoint increments are independent
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[3]/tuple[1],semantic_text,"the law of increments is Gaussian centered of variance $t-s$, i.e. \(\mathcal{N}(0, t-s)\),"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[3]/tuple[1],semantic_text,plus the assumption of continuity of paths
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[3]/tuple[1],semantic_text,the classical definition of Brownian motion.
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[3]/tuple[2],semantic_text,disjoint increments are independent
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[3]/tuple[2],semantic_text,"the law of increments is Gaussian centered of variance $t-s$, i.e. \(\mathcal{N}(0, t-s)\),"
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[3]/tuple[2],semantic_text,by taking the continuous version via Kolmogorov's theorem
data/ground_truth/en/pc2_q1.yaml,en,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[3]/tuple[2],semantic_text,the classical definition of Brownian motion.
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[1],formula,compute $\lim_{t \to 0^+} t W_{1/t}$
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,arguments,subquestions[2].atoms/tuple[1],semantic_text,Hence by the law of large numbers for Brownian motion
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,outcomes,subquestions[2].atoms/tuple[1],formula,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[2],semantic_text,"For any arbitrary \(t_1, \dots, t_n\), the vector \((X_{t_1}, \dots, X_{t_n})\)"
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,arguments,subquestions[2].atoms/tuple[2],semantic_text,is a linear combination of the \(W_{1/t_i}\)
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,outcomes,subquestions[2].atoms/tuple[2],semantic_text,thus it is centered Gaussian. \\
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,arguments,subquestions[2].atoms/tuple[3],generic_argument,Calculation
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,outcomes,subquestions[2].atoms/tuple[3],formula,"i.e. $\mathbb{E}[X_t X_s] = \min(t,s)$. \\"
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[4],formula,"continuity: $\lim_{t \to 0^+} X_t = 0$ a.s.,"
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[4],semantic_text,"Gaussianity: the vector \((X_{t_1}, \dots, X_{t_n})\) is centered Gaussian for any set of times"
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[4],formula,"covariance: $\mathbb{E}[X_t X_s] = \min(t,s)$,"
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,preconditions,subquestions[2].atoms/tuple[4],formula,adding \(X_0 = 0\)
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,arguments,subquestions[2].atoms/tuple[4],semantic_text,we get by definition of a Brownian motion
