status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,D2_total_constraints,D2_respected_constraints,D2_violated_constraints,D2_unmatched_constraints,overall_mean_score,overall_with_D2_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,acc,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.442860,0.600000,1.000000,0.750000,0.249388,0.200000,0.500000,0.285714,0.360444,0.450000,1.000000,0.620690,0.000000,0.000000,0.000000,6,0,0,6,0.350897,0.263173,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.451109,0.600000,1.000000,0.750000,0.193412,0.100000,0.500000,0.166667,0.365187,0.450000,1.000000,0.620690,0.000000,0.000000,0.000000,6,0,0,6,0.336569,0.252427,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc2_q1_gtf
ok,,pc2_q1,self,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.442627,0.700000,1.000000,0.823529,0.320071,0.300000,1.000000,0.461538,0.384015,0.450000,1.000000,0.620690,0.000000,0.000000,0.000000,6,0,0,6,0.382237,0.286678,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc2_q1_self
ok,,pc2_q1,seq,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.404399,0.300000,1.000000,0.461538,0.279589,0.300000,1.000000,0.461538,0.290029,0.200000,1.000000,0.333333,1.000000,0.166667,0.166667,6,1,0,5,0.324672,0.285171,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc2_q1_seq
ok,,pc4_q4,acc,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.907757,1.000000,1.000000,1.000000,0.642718,1.000000,1.000000,1.000000,0.612452,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.720976,0.790732,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.868282,1.000000,1.000000,1.000000,0.218563,0.500000,0.500000,0.500000,0.622075,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.569640,0.677230,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.877420,1.000000,1.000000,1.000000,0.288347,0.500000,0.500000,0.500000,0.622075,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.595947,0.696961,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.900228,1.000000,1.000000,1.000000,0.233324,0.500000,0.500000,0.500000,0.628506,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.587353,0.690514,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-1.5b/en/baseline/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-1.5b/en/baseline/pc4_q4_seq
ok,,pc2_q1,acc,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.596174,0.900000,1.000000,0.947368,0.266983,0.300000,1.000000,0.461538,0.389162,0.450000,1.000000,0.620690,0.000000,0.000000,0.000000,6,0,0,6,0.417440,0.313080,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-7b/en/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-7b/en/baseline/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,llama3.1:8b,0.375000,0.415000,2,2,0.533393,0.600000,0.800000,0.685714,0.319301,0.200000,0.200000,0.200000,0.396576,0.450000,1.000000,0.620690,0.000000,0.166667,0.000000,6,0,1,5,0.416423,0.312317,/home/xinyi.liang/dev_python/llmaths/project/outputs/parsed_results/deepseek-r1-7b/en/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation_judge/matrices/deepseek-r1-7b/en/baseline/pc2_q1_gtf
