subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.216850,0.216850,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.853292,0.000000,False,True,unrelated,0.800000,"The model statement introduces a new variable τ and discusses martingale property, whereas the ground-truth statement only describes W_t as a Brownian Motion.",807bb1ac669c9789f45bc0405668d83aa34e9c54d31396c40bab23acad681733,False,,$W_t$ is a Brownian Motion.,Brownian motion $W_t$ is a martingale | $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,1.000000,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement is stronger and includes an additional hypothesis.,36d47045a36a2d7adeb597d6a9bfc83cb3255ef40c351ef94ccd0e0586b433e5,False,,$\tau$ is a bounded stopping time,Brownian motion $W_t$ is a martingale | $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.847033,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement restricts to a specific stopping time, whereas ground-truth is unconditional.",61f6d2fa3fc0377c6564fed24e2edcd4d3fbc8ebc2ccafc4b7472c0bad90b866,False,,$(W_t)_{t\geq 0}$ is a martingale.,Brownian motion $W_t$ is a martingale | $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.989610,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement is stronger and includes an additional hypothesis.,1fb769ac1167449e209de885dc5edce0503d5e58d0d8df0a7a10c643c577915c,False,,$\tau$ is a bounded stopping time.,Brownian motion $W_t$ is a martingale | $\tau$ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.868844,1.000000,True,True,equivalent,1.000000,Same mathematical expression with identical notation.,c15fc3169c3d4a992bc8815df2e7d6adee1bd15e33c3d75df457357950064d88,True,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E[W_τ²] = E[τ]
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.551296,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specificity about the process and stopping time.,45b23a842342a729bc75ff87a019b97c4d296a894136703f946576145629d845,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Optional Stopping Theorem
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.965468,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is stronger and includes an additional condition on τ.,e03b327136b809c950e8f2ece86c8942ebbc4f554524a8292f79e010e00c47cc,False,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time | W_t is a Brownian motion
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same definition of a bounded stopping time.,2cafbd3e41717eb6f8ea4748e3db26952b2c1d63e780bbd94dab4f15488731b1,False,,$\tau$ is a bounded stopping time,τ is a bounded stopping time | W_t is a Brownian motion
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.601745,1.000000,True,True,equivalent,1.000000,"Same mathematical content, just different notation.",8bd8f9e24b2a6e70162879e0b574508f474b75cf915317d390f0a97aaa4f2fee,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",τ is a bounded stopping time | W_t is a Brownian motion
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.663880,0.000000,False,True,unrelated,0.000000,"The model statement discusses a stopping time and Brownian motion, while the ground-truth statement concerns martingale properties.",fa9f46430e61ee629fff448383d8658885f746ef75fb32d9a45964ea87b01852,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time | W_t is a Brownian motion
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same definition with additional context.,5662d15d5df2748408415322c7931dac01f6fadf51ce53abbbd46a370f246542,False,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time | W_t is a Brownian motion
