subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.856242,0.000000,False,True,unrelated,0.000000,Model statement introduces an additional equation E[W_0] = 0 not present in the ground-truth statement.,dbbf0f6f5467fa1d58151c4c29eb2ced31be87b0f27ce55a21ae6a39469d9d7b,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = E[W_0] = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.624386,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specificity about the process and time.,5615139375b8fa5eba62dee1aacf8e9cc4a125c1093a1947bfd3d8dd73f2caf4,True,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Optional Stopping Theorem
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.811422,0.000000,False,True,unrelated,0.800000,"The model statement discusses martingale and stopping time, whereas the ground-truth statement describes a Brownian Motion.",95d0a81708fc2eb3a417a637a3a7adf9999f27c8671d6925fe7e68d650f41d70,True,,$W_t$ is a Brownian Motion.,W_t is a martingale | τ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement adds an unrelated condition (W_t is a martingale) and does not fully express the boundedness of τ.,7e17b9a66442292ff10f2462b24835a6b19d21b0aa7cf272541f664aa2152c19,True,,$\tau$ is a bounded stopping time,W_t is a martingale | τ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.866810,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement assumes a bounded stopping time, which is not present in the ground-truth statement.",664afe62d68e71ab75e98babaa476981e64e29881182b1e507d7dcda46ff6e81,True,,$(W_t)_{t\geq 0}$ is a martingale.,W_t is a martingale | τ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is stronger and includes an additional condition, but the topic is the same.",67011fe0a2124770fa222e2f5d19f5de674f8794c8ec57482a1adf5ca8513150,True,,$\tau$ is a bounded stopping time.,W_t is a martingale | τ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.842946,0.000000,False,True,unrelated,0.000000,"The model statement concerns the expectation of W, while the ground-truth statement concerns the expectation of W^2.",d0058c025a7fbad14c6d695abf6f322cde61703dcfeb4e20f37ed29490694dee,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E[W_\\tau] = 0
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.551296,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specific application context.,49fa9d1dddee71b30713c1e30377fd4d68bd872f5bb3764e089fee849de2c817,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Optional stopping theorem
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.853292,0.000000,False,True,unrelated,0.800000,"The model statement introduces a new variable τ and discusses martingale properties, whereas the ground-truth statement only describes W_t as a Brownian Motion.",c9fd59476987f80d26fd90ff8da4156b46a8b16d8f64e9ae32b3e925d0bb2b05,False,,$W_t$ is a Brownian Motion.,Brownian motion $ W_t $ is a martingale | $ \tau $ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,1.000000,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement is stronger and includes an additional hypothesis about the martingale property of Brownian motion.,2ef2d238e0e72285a30ca1749b73dddf8016b167384e5f5b1a92ffaca2259030,False,,$\tau$ is a bounded stopping time,Brownian motion $ W_t $ is a martingale | $ \tau $ is a bounded stopping time
