subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,4,0.951951,True
1,D1,outcomes,2,,3,0.785980,True
1,D1,outcomes,3,,3,0.351860,False
1,D1,outcomes,4,,3,0.397625,False
1,D1,outcomes,5,,1,0.597149,True
1,D1,outcomes,6,,1,0.597149,True
1,D3,arguments,1,,1,0.542626,True
1,D3,arguments,2,,3,0.583020,True
1,D3,arguments,3,,2,0.164157,False
1,D3,arguments,4,,1,0.446776,False
1,D3,arguments,5,,1,0.401996,False
1,D3,arguments,6,,1,0.365675,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.510364,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.584659,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.723191,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.699475,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.449717,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.310018,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.553559,True
2,D1,outcomes,1,,1,0.000000,False
2,D1,outcomes,2,,1,0.000000,False
2,D1,outcomes,3,,1,0.000000,False
2,D1,outcomes,4,,1,0.000000,False
2,D3,arguments,1,,2,0.319476,False
2,D3,arguments,2,,2,0.394353,False
2,D3,arguments,3,,1,0.250359,False
2,D3,arguments,4,,2,0.404215,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.000000,False
