subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.710668,0.710668,True,False,,,,,,,对 $(W_t)_{t\geq 0}$ 在停时 $\tau$ 处应用 Doob 可选停时定理 (Optional Stopping Theorem)。,应用 optional stopping theorem
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.889447,0.889447,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \E(W_0) = 0$
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.480526,0.000000,False,True,unrelated,0.000000,"Model statement is about stopping time, while ground-truth statement is about Brownian motion.",8c3f469525a93353b689637a45995b35a2566d39c4568b76526a2c016768d072,True,,$W_t$ 为布朗运动。,$\tau$ 为有界停时
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.987911,0.987911,True,False,,,,,,,$\tau$ 为有界停时，,$\tau$ 为有界停时
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.344006,0.344006,False,False,,,,,,,$(W_t)_{t\geq 0}$ 为鞅。,$\tau$ 为有界停时
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.976388,0.976388,True,False,,,,,,,$\tau$ 为有界停时。,$\tau$ 为有界停时
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.473314,0.473314,False,False,,,,,,,对过程 $(W_t^2-t)_{t\geq 0}$ 在时刻 $\tau$ 应用 Doob 可选停时定理 (Optional Stopping Theorem)。,应用 Itō 公式到 f(W_t) = e^{W_t}
2,D2,arguments,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.277568,0.277568,False,False,,,,,,,对过程 $(W_t^2-t)_{t\geq 0}$ 在时刻 $\tau$ 应用 Doob 可选停时定理 (Optional Stopping Theorem)。,利用马尔可夫性质和停时定理
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.819287,0.819287,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]。 \],E[e^{W_τ}] = e^{E[W_τ^2]/2}
2,D3,outcomes,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.767254,0.767254,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]。 \],E[e^{W_τ}] = e^{E[τ]/2}
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.871767,0.871767,True,False,,,,,,,$W_t$ 为布朗运动。,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,1,2,assumption_global[1],subquestions[2].atoms/list[2],global_assumption,0.871767,0.871767,True,False,,,,,,,$W_t$ 为布朗运动。,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.856788,0.856788,True,False,,,,,,,$\tau$ 为有界停时，,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,2,2,subquestions[2].assumptions[1],subquestions[2].atoms/list[2],local_assumption,0.856788,0.856788,True,False,,,,,,,$\tau$ 为有界停时，,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.412585,0.412585,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,3,2,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[2],previous_outcome,0.412585,0.412585,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.562678,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is weaker and lacks the key property of being a martingale.,bca3f0a000a0c59c53e2277c3bb8dbaeca671ac4158a832af63295eb39dcba9e,False,,$(W_t^2-t)_{t\geq 0}$ 为鞅。,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,4,2,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[2],gt_precondition,0.562678,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is weaker and lacks the key property of being a martingale.,bca3f0a000a0c59c53e2277c3bb8dbaeca671ac4158a832af63295eb39dcba9e,True,,$(W_t^2-t)_{t\geq 0}$ 为鞅。,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.862828,0.862828,True,False,,,,,,,$\tau$ 为有界停时。,W_t 是布朗运动 | τ 是有界停时
2,D1,required_precondition_coverage,5,2,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[2],gt_precondition,0.862828,0.862828,True,False,,,,,,,$\tau$ 为有界停时。,W_t 是布朗运动 | τ 是有界停时
