subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.515124,0.515124,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",X_t is a Brownian motion
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.806120,0.806120,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.040091,0.040091,False,False,,,,,,,因此该过程为零均值高斯过程。,X_t is a Brownian motion
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.044584,0.044584,False,False,,,,,,,因此该过程为零均值高斯过程。,"X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.176890,0.176890,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,X_t is a Brownian motion
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.278849,0.278849,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,"X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.232948,0.232948,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",X_t is a Brownian motion
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.232505,0.232505,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。","X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.113991,0.113991,False,False,,,,,,,布朗运动的经典定义。,X_t is a Brownian motion
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.117453,0.117453,False,False,,,,,,,布朗运动的经典定义。,"X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.113991,0.113991,False,False,,,,,,,布朗运动的经典定义。,X_t is a Brownian motion
1,D1,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.117453,0.117453,False,False,,,,,,,布朗运动的经典定义。,"X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.404235,0.404235,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.404235,0.404235,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.091719,0.091719,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.091719,0.091719,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.113497,0.113497,False,False,,,,,,,Calculation,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.250359,0.250359,False,False,,,,,,,Calculation,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.284908,0.284908,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.284908,0.284908,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.167320,0.167320,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.169946,0.169946,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.219975,0.219975,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"Cov(X_s, X_t) = inf(s, t)"
1,D3,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.293029,0.293029,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"X_0=0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = inf(s, t)"
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.477140,0.477140,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,X_0=0 | X_t is a centered Gaussian process
