subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,2,0.818220,True
1,D1,outcomes,2,,2,0.763763,True
1,D1,outcomes,3,,2,0.174117,False
1,D1,outcomes,4,,2,0.366018,False
1,D1,outcomes,5,,1,0.541497,True
1,D1,outcomes,6,,1,0.541497,True
1,D3,arguments,1,,1,0.460636,True
1,D3,arguments,2,,1,0.354231,False
1,D3,arguments,3,,2,1.000000,True
1,D3,arguments,4,,1,0.212889,False
1,D3,arguments,5,,1,0.167178,False
1,D3,arguments,6,,1,0.331514,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.604508,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.461482,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.378463,False
1,D4,required_precondition_coverage,4,gt_precondition,2,0.548745,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.476492,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.136185,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.095972,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.317705,False
2,D1,outcomes,1,,2,0.632199,True
2,D1,outcomes,2,,1,0.430406,True
2,D1,outcomes,3,,1,0.617078,True
2,D1,outcomes,4,,2,0.527211,True
2,D3,arguments,1,,1,0.066607,False
2,D3,arguments,2,,1,0.117893,False
2,D3,arguments,3,,1,1.000000,True
2,D3,arguments,4,,1,-0.054746,False
2,D4,required_precondition_coverage,1,previous_outcome,2,0.622334,True
2,D4,required_precondition_coverage,2,previous_outcome,2,0.687736,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.194047,False
2,D4,required_precondition_coverage,4,previous_outcome,2,0.176466,False
2,D4,required_precondition_coverage,5,previous_outcome,2,0.335989,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.666310,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.529906,True
2,D4,required_precondition_coverage,8,gt_precondition,2,0.339013,False
2,D4,required_precondition_coverage,9,gt_precondition,2,0.401036,True
2,D4,required_precondition_coverage,10,gt_precondition,2,0.584439,True
2,D4,required_precondition_coverage,11,gt_precondition,2,0.580140,True
2,D4,required_precondition_coverage,12,gt_precondition,2,0.270389,False
