subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,1,0.221755,False
1,D2,arguments,3,,1,0.027445,False
1,D2,arguments,4,,1,0.500000,False
1,D2,arguments,5,,1,0.207948,False
1,D2,arguments,6,,1,0.500000,False
1,D3,outcomes,1,,1,0.542345,True
1,D3,outcomes,2,,1,1.000000,True
1,D3,outcomes,3,,1,0.165161,False
1,D3,outcomes,4,,1,0.234664,False
1,D3,outcomes,5,,1,0.559420,True
1,D3,outcomes,6,,1,0.559420,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.636151,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.509264,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.992619,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.956927,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.757056,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.166975,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.143674,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.663157,True
2,D2,arguments,2,,1,0.223174,False
2,D2,arguments,3,,1,0.026993,False
2,D2,arguments,4,,1,0.748145,True
2,D3,outcomes,1,,1,0.500000,False
2,D3,outcomes,2,,1,0.217856,False
2,D3,outcomes,3,,1,0.614301,True
2,D3,outcomes,4,,1,0.701654,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
