subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.703505,0.703505,True,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,X_t 为零均值高斯过程
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.404235,0.404235,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s, X_t) = inf(s, t)"
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.637476,0.637476,True,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,X_t 为零均值高斯过程
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.091719,0.091719,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s, X_t) = inf(s, t)"
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.149477,0.149477,False,False,,,,,,,Calculation,X_t 为零均值高斯过程
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.113497,0.113497,False,False,,,,,,,Calculation,"Cov(X_s, X_t) = inf(s, t)"
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.612063,0.612063,True,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,X_t 为零均值高斯过程
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.284908,0.284908,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"Cov(X_s, X_t) = inf(s, t)"
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.350693,0.350693,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,X_t 为零均值高斯过程
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.167320,0.167320,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"Cov(X_s, X_t) = inf(s, t)"
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.291196,0.291196,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,X_t 为零均值高斯过程
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.219975,0.219975,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"Cov(X_s, X_t) = inf(s, t)"
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.440847,0.440847,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",X_t 为布朗运动
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.440847,0.440847,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",X_t 为布朗运动
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.351507,0.351507,False,False,,,,,,,因此该过程为零均值高斯过程。,X_t 为布朗运动
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.351507,0.351507,False,False,,,,,,,因此该过程为零均值高斯过程。,X_t 为布朗运动
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.365808,0.365808,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,X_t 为布朗运动
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.365808,0.365808,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,X_t 为布朗运动
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.491172,0.491172,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",X_t 为布朗运动
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.491172,0.491172,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",X_t 为布朗运动
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 为布朗运动
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 为布朗运动
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 为布朗运动
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 为布朗运动
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.563271,0.563271,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,X_0 = 0 | X_t 为零均值高斯过程
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.563271,0.563271,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,"X_0 = 0 | X_t 为零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.637303,0.637303,True,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,X_0 = 0 | X_t 为零均值高斯过程
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.637303,0.637303,True,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,"X_0 = 0 | X_t 为零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.900591,0.900591,True,False,,,,,,,\(X_0 = 0\)，,X_0 = 0 | X_t 为零均值高斯过程
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.900591,0.900591,True,False,,,,,,,\(X_0 = 0\)，,"X_0 = 0 | X_t 为零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.488910,0.488910,False,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，",X_0 = 0 | X_t 为零均值高斯过程
1,D1,required_precondition_coverage,4,2,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.854415,0.854415,True,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，","X_0 = 0 | X_t 为零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.404879,0.404879,False,False,,,,,,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：",X_0 = 0 | X_t 为零均值高斯过程
