subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.370641,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is a broader concept that includes the ground-truth statement as a property.,9e0f4f0db0035c124f71cad605a463aa26f581e0f537dffc3cfe12f747ac0e22,True,,Independence of \(X_s\) and \(X_t - X_s\),Brownian motion
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.199320,0.199320,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Covariance matrix
1,D2,arguments,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.289093,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is a broader concept that encompasses the ground-truth statement, but does not fully capture its specific mathematical content.",3a9bb3e4d13c4f90ee5e7369c498ba2c6ba2aefa6c9bc35a32c4618ddb6cf1a9,False,,Independence of \(X_s\) and \(X_t - X_s\),Covariance function
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.271288,0.271288,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Brownian motion
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.359260,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement describes a property of a random process, but it does not explicitly state that it is a Gaussian process.",7a523d2e32f5971f1677ac8167c5d1b44880fbebb09580fafaa821ecd845d4f0,False,,a linear combination of independent Gaussian increments thus it is Gaussian,Covariance matrix
1,D2,arguments,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.334595,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement describes a property of a stochastic process, but it does not explicitly state that the process is Gaussian.",4f348e6f2b14e61f56e182f9c678ee70418bb321877653f7f46adb04950e3de1,False,,a linear combination of independent Gaussian increments thus it is Gaussian,Covariance function
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.119402,0.119402,False,False,,,,,,,Calculation,Brownian motion
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.137994,0.137994,False,False,,,,,,,Calculation,Covariance matrix
1,D2,arguments,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.152565,0.152565,False,False,,,,,,,Calculation,Covariance function
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.286950,0.000000,False,True,unrelated,0.000000,The model statement is unrelated to the mathematical content of the ground-truth statement.,f2395cdae1f66081615038fc100651931e8c1f58b5d41e843245d628fcc85769,True,,thus the law depends only on \(t-s\),Brownian motion
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.063492,0.063492,False,False,,,,,,,thus the law depends only on \(t-s\),Covariance matrix
1,D2,arguments,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.122598,0.122598,False,False,,,,,,,thus the law depends only on \(t-s\),Covariance function
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.135771,0.135771,False,False,,,,,,,plus the assumption of continuity of paths,Brownian motion
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,-0.014438,-0.014438,False,False,,,,,,,plus the assumption of continuity of paths,Covariance matrix
1,D2,arguments,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.104293,0.104293,False,False,,,,,,,plus the assumption of continuity of paths,Covariance function
