subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.605694,0.605694,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.643756,0.643756,True,False,,,,,,,The process is therefore centered Gaussian,"A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.204089,0.204089,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.234316,0.234316,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.514654,0.514654,True,False,,,,,,,the classical definition of Brownian motion.,"A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.514654,0.514654,True,False,,,,,,,the classical definition of Brownian motion.,"A process (X_t)_{t\in \R^+} is a Brownian motion if and only if X_0=0, (X_t)_{t\in \R^+} is a centered Gaussian process, Cov(X_s,X_t)=inf(s,t)"
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.309695,0.309695,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Definition of Brownian motion
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.200482,0.200482,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Definition of Brownian motion
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.063289,-0.063289,False,False,,,,,,,Calculation,Definition of Brownian motion
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225419,0.225419,False,False,,,,,,,thus the law depends only on \(t-s\),Definition of Brownian motion
