subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,2,0.804829,True
1,D1,outcomes,2,,1,0.707076,True
1,D1,outcomes,3,,2,0.223376,False
1,D1,outcomes,4,,2,0.308627,False
1,D1,outcomes,5,,3,0.547883,True
1,D1,outcomes,6,,3,0.547883,True
1,D3,arguments,1,,2,0.359628,False
1,D3,arguments,2,,2,0.517433,True
1,D3,arguments,3,,2,0.026949,False
1,D3,arguments,4,,1,0.230355,False
1,D3,arguments,5,,2,0.193695,False
1,D3,arguments,6,,2,0.341109,False
1,D4,required_precondition_coverage,1,gt_precondition,3,0.603271,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.524831,True
1,D4,required_precondition_coverage,3,gt_precondition,3,0.394631,False
1,D4,required_precondition_coverage,4,gt_precondition,3,0.896349,True
1,D4,required_precondition_coverage,5,gt_precondition,3,0.744860,True
1,D4,required_precondition_coverage,6,gt_precondition,2,0.134719,False
1,D4,required_precondition_coverage,7,gt_precondition,3,0.116444,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.418482,True
2,D1,outcomes,1,,1,0.628752,True
2,D1,outcomes,2,,1,0.178516,False
2,D1,outcomes,3,,1,0.525389,True
2,D1,outcomes,4,,1,0.596774,True
2,D3,arguments,1,,1,0.639906,True
2,D3,arguments,2,,1,0.224286,False
2,D3,arguments,3,,1,0.027445,False
2,D3,arguments,4,,1,0.751701,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.400795,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.117828,False
