subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.939747,1.000000,True,True,equivalent,1.000000,Same mathematical expression for the expected value of W_tau.,70bf48128ee0317eb4f8137997b0dbc24b063bcb71e8497b5048886fcdcb0439,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \int_{-\infty}^{\infty} W_s d\Pi(s)$ | $\E(W_\tau) = 0$
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.422393,0.000000,False,True,unrelated,0.000000,"Ito's Lemma is a formula for finding the differential of a function of a stochastic process, whereas Doob's optional stopping theorem is a result about the expectation of stopped processes.",1c7f01bce2bb55b4e05338864971f096efd77b57f41178161996215cc92dade0,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Ito's Lemma
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.754936,0.000000,False,True,unrelated,0.000000,Different variable names.,dfae6543aff72ada5cc339fc2a841b2e79406c9e2043bf8daba0d86b03680046,True,,$\tau$ is a bounded stopping time,$	au$ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.308915,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale process.",2047069a7b68eff1a79106cdcdd0e27d119c68d2667ab3fcabccd4f7ab86f157,True,,$(W_t)_{t\geq 0}$ is a martingale.,$	au$ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.743488,0.000000,False,True,unrelated,0.000000,Different variable names.,eb0d441f2f2f1ab29ec4a451134e7ea7815f1765633096a5594d61bdcacf0d62,True,,$\tau$ is a bounded stopping time.,$	au$ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.806074,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a correct expansion, but not directly equivalent to the ground-truth statement.",0fb215507c712c9f91256cf55c24506043fdb57f6a37407e82c501198ea09fbf,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_\tau^2) = \E(W_0^2) + 2\E\left[\int_{0}^{\tau} W_s dW_s\right] + \E\left[W_\tau^2 - W_0^2 - 2\int_{0}^{\tau} W_s dW_s\right]
2,D1,outcomes,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.875027,0.000000,False,True,unrelated,0.000000,Different expectation of squared outcomes and time.,97169d53859a8831803d9c2b575171a93e4a4f3e135ab0e044fd37b39ed8e9bd,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_\tau^2) = \E(W_0^2)$
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.533527,0.000000,False,True,unrelated,0.000000,"Model statement is about Itô's formula, while ground-truth statement applies a theorem to a process.",cabe7d74947b0271b14beb17aa617ab7ed38666e93ef937f551a515c587cabd6,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Itô's formula for $W_t^2$
2,D3,arguments,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.554192,0.000000,False,True,unrelated,0.000000,Model statement discusses properties of $W_t$ but does not address optional stopping theorem on $(W_t^2-t)_{t\geq 0}$.,bf21c8425a417bde816e58c387c5282a9189e5cb54d0c6bef85e89f100e0a9b7,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Martingale property of $W_t$ | Itô's formula for $W_t^2$
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
2,D4,required_precondition_coverage,1,2,assumption_global[1],subquestions[2].atoms/list[2],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
