subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.703505,True
1,D2,arguments,2,,1,0.637476,True
1,D2,arguments,3,,1,0.149477,False
1,D2,arguments,4,,1,0.612063,True
1,D2,arguments,5,,1,0.350693,False
1,D2,arguments,6,,1,0.291196,False
1,D3,outcomes,1,,1,0.943406,True
1,D3,outcomes,2,,1,0.022236,False
1,D3,outcomes,3,,1,0.228683,False
1,D3,outcomes,4,,1,0.216261,False
1,D3,outcomes,5,,1,0.082866,False
1,D3,outcomes,6,,1,0.082866,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.344387,False
1,D1,required_precondition_coverage,2,gt_precondition,1,0.175043,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.301702,False
1,D1,required_precondition_coverage,5,gt_precondition,1,0.242055,False
1,D1,required_precondition_coverage,6,gt_precondition,1,0.396363,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.081384,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.239954,False
2,D2,arguments,1,,4,0.415682,False
2,D2,arguments,2,,2,0.708681,True
2,D2,arguments,3,,2,0.135692,False
2,D2,arguments,4,,4,0.558548,False
2,D3,outcomes,1,,1,0.100200,False
2,D3,outcomes,2,,2,0.689030,True
2,D3,outcomes,3,,1,0.483097,False
2,D3,outcomes,4,,2,0.564335,False
2,D1,required_precondition_coverage,1,previous_outcome,2,0.496589,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.273185,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.421505,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.450034,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D1,required_precondition_coverage,7,gt_precondition,2,0.765080,True
2,D1,required_precondition_coverage,8,gt_precondition,2,0.472524,False
2,D1,required_precondition_coverage,9,gt_precondition,2,0.617129,True
2,D1,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D1,required_precondition_coverage,11,gt_precondition,2,0.504236,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.622278,True
