subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,4,0.818220,True
1,D1,outcomes,2,,5,0.763763,True
1,D1,outcomes,3,,3,0.202219,False
1,D1,outcomes,4,,4,0.260364,False
1,D1,outcomes,5,,3,0.499632,True
1,D1,outcomes,6,,3,0.499632,True
1,D3,arguments,1,,1,0.025708,False
1,D3,arguments,2,,1,0.078710,False
1,D3,arguments,3,,1,1.000000,True
1,D3,arguments,4,,1,0.157305,False
1,D3,arguments,5,,1,-0.112936,False
1,D3,arguments,6,,1,0.009087,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.604508,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.513661,True
1,D4,required_precondition_coverage,3,gt_precondition,2,0.898064,True
1,D4,required_precondition_coverage,4,gt_precondition,2,0.932547,True
1,D4,required_precondition_coverage,5,gt_precondition,2,0.785726,True
1,D4,required_precondition_coverage,6,gt_precondition,2,0.171087,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.135605,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.415815,True
2,D1,outcomes,1,,1,0.675493,True
2,D1,outcomes,2,,1,0.179729,False
2,D1,outcomes,3,,1,0.500917,True
2,D1,outcomes,4,,1,0.571505,True
2,D3,arguments,1,,1,0.066607,False
2,D3,arguments,2,,1,0.117893,False
2,D3,arguments,3,,1,1.000000,True
2,D3,arguments,4,,1,-0.054746,False
2,D4,required_precondition_coverage,1,previous_outcome,3,0.487946,True
2,D4,required_precondition_coverage,2,previous_outcome,4,0.715267,True
2,D4,required_precondition_coverage,3,previous_outcome,3,0.422599,True
2,D4,required_precondition_coverage,4,previous_outcome,4,0.479432,True
2,D4,required_precondition_coverage,5,previous_outcome,5,0.330078,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,4,0.625042,True
2,D4,required_precondition_coverage,8,gt_precondition,3,0.415751,True
2,D4,required_precondition_coverage,9,gt_precondition,5,0.586318,True
2,D4,required_precondition_coverage,10,gt_precondition,4,0.617776,True
2,D4,required_precondition_coverage,11,gt_precondition,3,0.440448,True
2,D4,required_precondition_coverage,12,gt_precondition,4,0.489376,True
