subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.305506,0.305506,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),X_0=0
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.481403,0.481403,True,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.440164,0.440164,True,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.172867,0.172867,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,X_0=0
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.247948,0.247948,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.084513,0.084513,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.250359,0.250359,False,False,,,,,,,Calculation,X_0=0
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,-0.092087,-0.092087,False,False,,,,,,,Calculation,"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,-0.062622,-0.062622,False,False,,,,,,,Calculation,"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.072884,0.072884,False,False,,,,,,,thus the law depends only on \(t-s\),X_0=0
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.272201,0.272201,False,False,,,,,,,thus the law depends only on \(t-s\),"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.310663,0.310663,False,False,,,,,,,thus the law depends only on \(t-s\),"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.094264,0.094264,False,False,,,,,,,plus the assumption of continuity of paths,X_0=0
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.297172,0.297172,False,False,,,,,,,plus the assumption of continuity of paths,"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.370601,0.370601,False,False,,,,,,,plus the assumption of continuity of paths,"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.176932,0.176932,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,X_0=0
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.353943,0.353943,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,"for all t\in \R^+ and \epsilon > 0, there exists an s_\epsilon>0 such that s<s_\epsilon implies (X_{s+t}-X_s)(\sigma(X_t))^\top \geq \epsilon^2"
1,D2,arguments,6,3,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[3],gt_atom,0.291632,0.291632,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,"for all s, t\in \R^+ and \tau > 0, there exists an a>0 such that |X_{\tau+t}-X_\tau| \leq a|X_t| for all (x,t)\in \R^2"
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.804829,0.804829,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.804829,0.804829,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.524137,0.524137,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",(X_t)_{t\in \R^+} is a Brownian motion
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.787809,0.787809,True,False,,,,,,,The process is therefore centered Gaussian,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.787809,0.787809,True,False,,,,,,,The process is therefore centered Gaussian,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.394188,0.394188,True,False,,,,,,,The process is therefore centered Gaussian,(X_t)_{t\in \R^+} is a Brownian motion
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.223376,0.223376,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.223376,0.223376,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.186366,0.186366,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",(X_t)_{t\in \R^+} is a Brownian motion
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.308627,0.308627,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.308627,0.308627,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.204057,0.204057,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",(X_t)_{t\in \R^+} is a Brownian motion
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.547883,0.547883,True,False,,,,,,,the classical definition of Brownian motion.,(X_t)_{t\in \R^+} is a Brownian motion
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"(X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,6,3,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[3],gt_atom,0.547883,0.547883,True,False,,,,,,,the classical definition of Brownian motion.,(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.604890,0.604890,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.581403,0.581403,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,1,3,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[3],gt_precondition,0.581403,0.581403,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.478009,0.478009,True,False,,,,,,,Standard Brownian motion has Gaussian increments,A process (X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.490066,0.490066,True,False,,,,,,,Standard Brownian motion has Gaussian increments,(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,2,3,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[3],gt_precondition,0.490066,0.490066,True,False,,,,,,,Standard Brownian motion has Gaussian increments,(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.295638,0.295638,False,False,,,,,,,"\(X_0 = 0\),",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.333324,0.333324,False,False,,,,,,,"\(X_0 = 0\),",(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,3,3,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[3],gt_precondition,0.333324,0.333324,False,False,,,,,,,"\(X_0 = 0\),",(X_t)_{t\in \R^+} is a Brownian motion
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.558971,0.558971,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$",A process (X_t)_{t\in \R^+} is a Brownian motion
