subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.804829,0.804829,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.746823,0.746823,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.787809,0.787809,True,False,,,,,,,The process is therefore centered Gaussian,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.767514,0.767514,True,False,,,,,,,The process is therefore centered Gaussian,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.223376,0.223376,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.208622,0.208622,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.395378,0.395378,True,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.357259,0.357259,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.370121,0.370121,False,False,,,,,,,the classical definition of Brownian motion.,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.406688,0.406688,True,False,,,,,,,the classical definition of Brownian motion.,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D1,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.370121,0.370121,False,False,,,,,,,the classical definition of Brownian motion.,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
