status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,D4_total_constraints,D4_respected_constraints,D4_violated_constraints,D4_unmatched_constraints,overall_mean_score,overall_with_D4_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,acc,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.239404,0.250000,0.571429,0.347826,0.392781,0.100000,0.142857,0.117647,0.377408,0.400000,0.428571,0.413793,0.666667,0.500000,0.333333,6,2,1,3,0.336531,0.335732,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.490636,0.500000,0.444444,0.470588,0.524148,0.500000,0.555556,0.526316,0.000000,0.166667,0.000000,6,0,1,5,0.338261,0.253696,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc2_q1_gtf
ok,,pc2_q1,seq,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.471986,0.400000,0.857143,0.545455,0.502175,0.400000,0.857143,0.545455,0.000000,0.000000,0.000000,6,0,0,6,0.324721,0.243540,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc2_q1_seq
ok,,pc4_q4,acc,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.867042,1.000000,0.875000,0.933333,1.000000,1.000000,1.000000,0,0,0,0,0.455681,0.591761,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.535594,0.500000,0.222222,0.307692,0.873885,1.000000,0.777778,0.875000,1.000000,1.000000,1.000000,0,0,0,0,0.469826,0.602370,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.875003,1.000000,0.666667,0.800000,1.000000,1.000000,1.000000,0,0,0,0,0.458334,0.593751,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-1.5b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.588143,0.500000,0.090909,0.153846,0.882756,1.000000,0.454545,0.625000,1.000000,1.000000,1.000000,0,0,0,0,0.490300,0.617725,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-1.5b/pc4_q4_seq
ok,,pc2_q1,acc,deepseek-r1-7b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.000000,0.000000,0.000000,0.000000,0.499587,0.500000,0.555556,0.526316,0.709994,0.700000,0.777778,0.736842,0.000000,0.166667,0.000000,6,0,1,5,0.403194,0.302395,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-7b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-7b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.264478,0.250000,0.500000,0.333333,0.440013,0.300000,0.666667,0.413793,0.429983,0.400000,0.500000,0.444444,1.000000,0.166667,0.166667,6,1,0,5,0.378158,0.325285,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-7b/pc2_q1_gtf
ok,,pc2_q1,self,deepseek-r1-7b,fr,baseline,sentence-transformers/all-MiniLM-L6-v2,0.450000,llama3.1:8b,0.350000,0.550000,2,2,0.503817,0.300000,1.000000,0.461538,0.489988,0.300000,0.875000,0.446809,0.650159,0.700000,0.750000,0.724138,1.000000,0.500000,0.500000,6,3,0,3,0.547988,0.535991,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/fr/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/fr/baseline/with_judge/matrices/deepseek-r1-7b/pc2_q1_self
