subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.356662,0.000000,False,True,unrelated,0.000000,"The model statement is about recalling the definition of a Brownian Motion, while the ground-truth statement applies a specific theorem to a stochastic process.",367531334fc83a4b9048dcf30ec98ed2afa470203edb7e7d02ded31545190e8b,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Recall the definition of a Brownian Motion
1,D2,arguments,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.367434,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a general formula, but lacks the specific application to the stopping time.",3a5a7da9beaa5d9958a84b2e4afed35fe93995c15100278905496866a603d404,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Apply the conditional expectation formula for a Brownian Motion
1,D2,arguments,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.489166,0.489166,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Use the fact that W_τ is a random variable with zero mean
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.816450,0.816450,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",Compute E(W_τ)
1,D3,outcomes,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.759002,0.759002,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = E(E(W_τ | F_τ))
1,D3,outcomes,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.865240,0.865240,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = 0
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.327193,0.000000,False,True,unrelated,0.000000,"The model statement mentions a stopping time, which is not relevant to the definition of a Brownian Motion.",a97979e92b5014269fc94e5ad60477c9fa2e80093969cea86a41731bf04b7c87,False,,$W_t$ is a Brownian Motion.,When τ is a bounded stopping time
1,D1,required_precondition_coverage,1,2,assumption_global[1],subquestions[1].atoms/list[2],global_assumption,0.215070,0.215070,False,False,,,,,,,$W_t$ is a Brownian Motion.,Use the linearity of expectation
1,D1,required_precondition_coverage,1,3,assumption_global[1],subquestions[1].atoms/list[3],global_assumption,0.811422,0.811422,True,False,,,,,,,$W_t$ is a Brownian Motion.,W_t is a martingale
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.922678,0.922678,True,False,,,,,,,$\tau$ is a bounded stopping time,When τ is a bounded stopping time
