subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.544301,False
1,D1,outcomes,2,,1,0.132854,False
1,D1,outcomes,3,,1,0.301262,False
1,D1,outcomes,4,,1,0.375321,False
1,D1,outcomes,5,,1,0.274852,False
1,D1,outcomes,6,,1,0.274852,False
1,D3,arguments,1,,1,0.414537,False
1,D3,arguments,2,,1,0.094826,False
1,D3,arguments,3,,1,0.073077,False
1,D3,arguments,4,,1,0.272933,False
1,D3,arguments,5,,1,0.199676,False
1,D3,arguments,6,,1,0.248987,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.657587,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.462826,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.637096,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.542223,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.704192,True
1,D4,required_precondition_coverage,7,gt_precondition,1,0.281743,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.555221,False
2,D1,outcomes,1,,1,0.177145,False
2,D1,outcomes,2,,2,0.371574,False
2,D1,outcomes,3,,1,0.554501,False
2,D1,outcomes,4,,2,0.608817,True
2,D3,arguments,1,,2,0.288521,False
2,D3,arguments,2,,2,0.470109,False
2,D3,arguments,3,,1,0.250359,False
2,D3,arguments,4,,2,0.428337,False
2,D4,required_precondition_coverage,1,previous_outcome,2,0.806120,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.351507,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.365808,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.473119,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.509225,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.434002,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.326457,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.634921,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.538741,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.493887,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.498018,False
2,D4,required_precondition_coverage,12,gt_precondition,2,0.622278,True
