subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.551994,True
1,D2,arguments,2,,1,0.217174,False
1,D2,arguments,3,,1,-0.012274,False
1,D2,arguments,4,,1,0.500000,False
1,D2,arguments,5,,1,0.274375,False
1,D2,arguments,6,,1,0.500000,False
1,D3,outcomes,1,,1,0.508473,True
1,D3,outcomes,2,,1,0.479657,True
1,D3,outcomes,3,,1,0.212601,False
1,D3,outcomes,4,,1,0.223397,False
1,D3,outcomes,5,,1,0.501183,True
1,D3,outcomes,6,,1,0.501183,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.637959,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.553001,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.480296,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.143804,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.093525,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.000000,False
2,D2,arguments,2,,1,0.266475,False
2,D2,arguments,3,,1,0.242276,False
2,D2,arguments,4,,1,0.000000,False
2,D3,outcomes,1,,1,0.500000,False
2,D3,outcomes,2,,1,0.248087,False
2,D3,outcomes,3,,1,0.589968,True
2,D3,outcomes,4,,1,0.585140,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
