language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
fr,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.954639,0.950000,0.950000,True,True,True,$W_t$ est un mouvement brownien.,W est un mouvement brownien standard.
fr,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.885974,0.950000,0.950000,False,True,False,$W_t$ est un mouvement brownien.,Le processus W est un processus de Wiener.
fr,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.910178,0.950000,0.950000,False,False,True,$W_t$ est un mouvement brownien.,Le mouvement brownien possède des accroissements gaussiens indépendants et stationnaires.
fr,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.927720,0.950000,0.950000,False,False,True,$W_t$ est un mouvement brownien.,Les trajectoires d'un mouvement brownien sont presque sûrement continues.
fr,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.917174,0.950000,0.950000,False,False,True,$W_t$ est un mouvement brownien.,Le déterminant d'une matrice triangulaire est le produit de ses éléments diagonaux.
fr,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.886957,0.950000,0.950000,False,False,True,$W_t$ est un mouvement brownien.,Toute fonction continue sur un segment atteint son maximum.
fr,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.968909,0.950000,0.950000,True,True,True,Le processus est donc gaussien centré.,Le processus est gaussien et son espérance est nulle.
fr,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.924409,0.950000,0.950000,False,True,False,Le processus est donc gaussien centré.,Toutes ses lois de dimension finie sont gaussiennes centrées.
fr,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.943870,0.950000,0.950000,False,False,True,Le processus est donc gaussien centré.,Un processus gaussien est déterminé par sa moyenne et sa fonction de covariance.
fr,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.968871,0.950000,0.950000,True,False,False,Le processus est donc gaussien centré.,Un mouvement brownien est un processus gaussien centré.
fr,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.927594,0.950000,0.950000,False,False,True,Le processus est donc gaussien centré.,Un nombre premier possède exactement deux diviseurs positifs.
fr,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.891276,0.950000,0.950000,False,False,True,Le processus est donc gaussien centré.,La dérivée d'une fonction constante est nulle.
fr,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.923744,0.950000,0.950000,False,True,False,Le brownien standard a des accroissements gaussiens,Les accroissements du mouvement brownien suivent des lois normales.
fr,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.886719,0.950000,0.950000,False,True,False,Le brownien standard a des accroissements gaussiens,"Pour s inférieur à t, la variable W_t moins W_s est gaussienne."
fr,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,1,0.901916,0.950000,0.950000,False,False,True,Le brownien standard a des accroissements gaussiens,Les accroissements sur des intervalles disjoints sont indépendants.
fr,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,2,0.921838,0.950000,0.950000,False,False,True,Le brownien standard a des accroissements gaussiens,La variance d'un accroissement brownien dépend de la longueur de l'intervalle.
fr,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.923632,0.950000,0.950000,False,False,True,Le brownien standard a des accroissements gaussiens,Les valeurs propres d'une matrice diagonale sont ses éléments diagonaux.
fr,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.841648,0.950000,0.950000,False,False,True,Le brownien standard a des accroissements gaussiens,Une suite croissante et majorée est convergente.
fr,sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.958723,0.950000,0.950000,True,True,True,les incréments disjoints sont indépendants,Les accroissements correspondant à des intervalles disjoints sont indépendants.
fr,sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.948557,0.950000,0.950000,False,True,False,les incréments disjoints sont indépendants,Les variations du processus sur des intervalles sans intersection sont indépendantes.
fr,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,1,0.941134,0.950000,0.950000,False,False,True,les incréments disjoints sont indépendants,Les accroissements browniens sont des variables gaussiennes.
fr,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,2,0.905663,0.950000,0.950000,False,False,True,les incréments disjoints sont indépendants,Le mouvement brownien possède des accroissements stationnaires.
fr,sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.889083,0.950000,0.950000,False,False,True,les incréments disjoints sont indépendants,Le théorème du rang relie la dimension du noyau et celle de l'image.
fr,sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.908234,0.950000,0.950000,False,False,True,les incréments disjoints sont indépendants,Une fonction convexe est située sous chacune de ses cordes.
fr,sem_0005_equivalent,sem_0005,stationary_increments,equivalent,1,0.902894,0.950000,0.950000,False,True,False,Ceci montre que les accroissements sont stationnaires et,La loi de X_t moins X_s ne dépend que de t moins s.
fr,sem_0005_equivalent,sem_0005,stationary_increments,equivalent,2,0.939608,0.950000,0.950000,False,True,False,Ceci montre que les accroissements sont stationnaires et,"La distribution d'un accroissement dépend de la durée de l'intervalle, pas de son origine."
fr,sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,1,0.965042,0.950000,0.950000,True,False,False,Ceci montre que les accroissements sont stationnaires et,Le mouvement brownien a des accroissements indépendants.
fr,sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,2,0.960190,0.950000,0.950000,True,False,False,Ceci montre que les accroissements sont stationnaires et,Les accroissements browniens sont normalement distribués.
fr,sem_0005_unrelated,sem_0005,stationary_increments,unrelated,1,0.911912,0.950000,0.950000,False,False,True,Ceci montre que les accroissements sont stationnaires et,Les racines d'un polynôme du second degré sont données par la formule quadratique.
fr,sem_0005_unrelated,sem_0005,stationary_increments,unrelated,2,0.953238,0.950000,0.950000,True,False,False,Ceci montre que les accroissements sont stationnaires et,Échanger deux lignes d'une matrice change le signe de son déterminant.
fr,sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,1,0.916874,0.950000,0.950000,False,True,False,plus l'hypothèse de continuité des trajectoires,Le processus possède des trajectoires continues.
fr,sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,2,0.959866,0.950000,0.950000,True,True,True,plus l'hypothèse de continuité des trajectoires,"Presque sûrement, l'application qui à t associe X_t est continue."
fr,sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,1,0.968439,0.950000,0.950000,True,False,False,plus l'hypothèse de continuité des trajectoires,Le théorème de continuité de Kolmogorov donne des conditions pour obtenir une modification continue.
fr,sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,2,0.952419,0.950000,0.950000,True,False,False,plus l'hypothèse de continuité des trajectoires,Le mouvement brownien possède presque sûrement des trajectoires continues.
fr,sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,1,0.948966,0.950000,0.950000,False,False,True,plus l'hypothèse de continuité des trajectoires,Le gradient indique la direction de plus forte croissance d'un champ scalaire.
fr,sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,2,0.955818,0.950000,0.950000,True,False,False,plus l'hypothèse de continuité des trajectoires,L'ordre d'un groupe fini est son nombre d'éléments.
fr,sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,1,0.902483,0.950000,0.950000,False,True,False,en prenant la version continue via le théorème de Kolmogorov,Le théorème de continuité de Kolmogorov permet d'obtenir une modification continue du processus.
fr,sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,2,0.954884,0.950000,0.950000,True,True,True,en prenant la version continue via le théorème de Kolmogorov,Le théorème de Kolmogorov-Chentsov fournit des conditions assurant l'existence d'une version continue.
fr,sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,1,0.909891,0.950000,0.950000,False,False,True,en prenant la version continue via le théorème de Kolmogorov,Le mouvement brownien a des trajectoires presque sûrement continues.
fr,sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,2,0.931062,0.950000,0.950000,False,False,True,en prenant la version continue via le théorème de Kolmogorov,Le théorème de Kolmogorov-Chentsov sert à étudier la régularité des trajectoires.
fr,sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,1,0.921259,0.950000,0.950000,False,False,True,en prenant la version continue via le théorème de Kolmogorov,L'inverse d'une matrice inversible est unique.
fr,sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,2,0.878446,0.950000,0.950000,False,False,True,en prenant la version continue via le théorème de Kolmogorov,L'intégrale d'un polynôme se calcule terme par terme.
fr,sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,1,0.917783,0.950000,0.950000,False,True,False,par la loi des grands nombres pour le brownien,"Pour un mouvement brownien, W_t divisé par t converge presque sûrement vers zéro lorsque t tend vers l'infini."
