subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.230109,0.230109,False,False,,,,,,,对 $(W_t)_{t\geq 0}$ 在停时 $\tau$ 处应用 Doob 可选停时定理 (Optional Stopping Theorem)。,当 $\tau$ 为有界停时，布朗运动不会重复发生
1,D2,arguments,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.106798,0.106798,False,False,,,,,,,对 $(W_t)_{t\geq 0}$ 在停时 $\tau$ 处应用 Doob 可选停时定理 (Optional Stopping Theorem)。,布朗运动在任何给定的时间点都会发生变化
1,D2,arguments,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.513750,0.513750,False,False,,,,,,,对 $(W_t)_{t\geq 0}$ 在停时 $\tau$ 处应用 Doob 可选停时定理 (Optional Stopping Theorem)。,"使用公式 $\E(W_t) = \frac{1}{2} \int_{0}^{t-1} W_t \, dt$ 计算期望"
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.591168,0.591168,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",可以使用平均值公式计算 $\E(W_\tau)$
1,D3,outcomes,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,-0.034035,-0.034035,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",通过积分计算布朗运动的第 $t$ 天平均值
1,D3,outcomes,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.586581,0.586581,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",当 $\tau$ 为有界停时，$\E(W_\tau)$ 可以通过平均值公式计算
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.356983,0.356983,False,False,,,,,,,$W_t$ 为布朗运动。,布朗运动的定义和性质
1,D1,required_precondition_coverage,1,2,assumption_global[1],subquestions[1].atoms/list[2],global_assumption,0.271311,0.271311,False,False,,,,,,,$W_t$ 为布朗运动。,有界停时的定义
1,D1,required_precondition_coverage,1,3,assumption_global[1],subquestions[1].atoms/list[3],global_assumption,0.282718,0.282718,False,False,,,,,,,$W_t$ 为布朗运动。,平均值公式
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.494561,0.494561,False,False,,,,,,,$\tau$ 为有界停时，,布朗运动的定义和性质
1,D1,required_precondition_coverage,2,2,subquestions[1].assumptions[1],subquestions[1].atoms/list[2],local_assumption,0.596745,0.596745,True,False,,,,,,,$\tau$ 为有界停时，,有界停时的定义
1,D1,required_precondition_coverage,2,3,subquestions[1].assumptions[1],subquestions[1].atoms/list[3],local_assumption,0.405312,0.405312,False,False,,,,,,,$\tau$ 为有界停时，,平均值公式
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.276527,0.276527,False,False,,,,,,,$(W_t)_{t\geq 0}$ 为鞅。,布朗运动的定义和性质
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.206945,0.206945,False,False,,,,,,,$(W_t)_{t\geq 0}$ 为鞅。,有界停时的定义
1,D1,required_precondition_coverage,3,3,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[3],gt_precondition,0.141799,0.141799,False,False,,,,,,,$(W_t)_{t\geq 0}$ 为鞅。,平均值公式
