subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.667956,1.000000,True,True,equivalent,1.000000,Same mathematical expression for covariance.,62f9a5fdd35e8a1e4cdc7c77a255717a58eb45e91c58db1f0d8b69b135c527a4,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.594641,1.000000,True,True,equivalent,1.000000,Same definition of a centered Gaussian process.,c5b63175bb210cebbada4345e7683203aa6e23ba0dff9f4f98741e491bce184d,False,,The process is therefore centered Gaussian,"X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.210378,0.210378,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.266212,0.266212,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.511856,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is missing the continuity of paths property, a key part of the classical definition.",81efe879401dbe589592e7e3e319cba60137115cf9d65d48e5f2e24b0b7e889a,False,,the classical definition of Brownian motion.,"X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.511856,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is missing the continuity of paths property, a key part of the classical definition.",81efe879401dbe589592e7e3e319cba60137115cf9d65d48e5f2e24b0b7e889a,True,,the classical definition of Brownian motion.,"X_t \text{ is a Brownian motion if and only if } X_0 = 0, \text{ } (X_t)_{t\in \R^+} \text{ is a centered Gaussian process}, \text{ and } \text{Cov}(X_s, X_t) = \inf(s, t)"
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.309695,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a broader definition, but lacks the specific independence condition mentioned in the ground-truth statement.",896e02b078b3af0c1aab09e2ec53a27e35187b43f626a1a4052fcd148085178d,True,,Independence of \(X_s\) and \(X_t - X_s\),Definition of Brownian motion
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.200482,0.200482,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Definition of Brownian motion
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.063289,-0.063289,False,False,,,,,,,Calculation,Definition of Brownian motion
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225419,0.225419,False,False,,,,,,,thus the law depends only on \(t-s\),Definition of Brownian motion
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.189591,0.189591,False,False,,,,,,,plus the assumption of continuity of paths,Definition of Brownian motion
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.215755,0.215755,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Definition of Brownian motion
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.629867,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a centered Gaussian process, but does not explicitly decompose X_t as in the ground-truth statement.",d1c7078d4600d01ee43e313efe2d6da9295f0f324aaf2d2d034724da44f2860a,False,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","X_0 = 0 | (X_t)_{t\in \R^+} \text{ is a centered Gaussian process} | \text{Cov}(X_s,X_t) = \inf(s,t)"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.511159,1.000000,True,True,equivalent,1.000000,Same definition of standard Brownian motion.,38eab301f605694f8be004f7105f2ac440739e73004bf0ac6d1f65fc5f6df591,False,,Standard Brownian motion has Gaussian increments,"X_0 = 0 | (X_t)_{t\in \R^+} \text{ is a centered Gaussian process} | \text{Cov}(X_s,X_t) = \inf(s,t)"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.917187,1.000000,True,True,equivalent,1.000000,Same initial condition stated explicitly.,ebaafc1e315ccaedf8adda9dc05f2af3e62593c046f75cf8924e469745ba4b1b,False,,"\(X_0 = 0\),","X_0 = 0 | (X_t)_{t\in \R^+} \text{ is a centered Gaussian process} | \text{Cov}(X_s,X_t) = \inf(s,t)"
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.929090,1.000000,True,True,equivalent,1.000000,Same mathematical expression for covariance.,b00397349a13c0eaff1be184e776379553e66a6d50c4a270afacac0a33d6aff0,False,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$","X_0 = 0 | (X_t)_{t\in \R^+} \text{ is a centered Gaussian process} | \text{Cov}(X_s,X_t) = \inf(s,t)"
