subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.565743,True
1,D2,arguments,2,,1,0.470843,True
1,D2,arguments,3,,1,0.250359,False
1,D2,arguments,4,,1,0.238649,False
1,D2,arguments,5,,1,0.354678,False
1,D2,arguments,6,,1,0.388404,False
1,D3,outcomes,1,,1,0.022362,False
1,D3,outcomes,2,,1,0.306120,False
1,D3,outcomes,3,,1,0.246896,False
1,D3,outcomes,4,,1,0.270863,False
1,D3,outcomes,5,,1,0.188260,False
1,D3,outcomes,6,,1,0.188260,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,2,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,5,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,6,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D2,arguments,1,,1,0.580811,True
2,D2,arguments,2,,1,0.612634,True
2,D2,arguments,3,,5,0.172472,False
2,D2,arguments,4,,1,0.783282,True
2,D3,outcomes,1,,1,0.570107,True
2,D3,outcomes,2,,4,0.482214,True
2,D3,outcomes,3,,1,0.525778,True
2,D3,outcomes,4,,4,0.545102,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.000000,False
