subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.500000,False
1,D1,outcomes,2,,1,1.000000,True
1,D1,outcomes,3,,1,0.163786,False
1,D1,outcomes,4,,1,0.200315,False
1,D1,outcomes,5,,1,0.500000,False
1,D1,outcomes,6,,1,0.500000,False
1,D3,arguments,1,,1,0.025708,False
1,D3,arguments,2,,1,0.078710,False
1,D3,arguments,3,,1,1.000000,True
1,D3,arguments,4,,1,0.157305,False
1,D3,arguments,5,,1,-0.112936,False
1,D3,arguments,6,,1,0.009087,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.277645,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.136185,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.068761,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.277612,False
2,D1,outcomes,1,,1,0.000000,False
2,D1,outcomes,2,,1,0.165149,False
2,D1,outcomes,3,,1,0.000000,False
2,D1,outcomes,4,,1,0.500000,False
2,D3,arguments,1,,1,0.500000,False
2,D3,arguments,2,,1,0.255101,False
2,D3,arguments,3,,1,0.125396,False
2,D3,arguments,4,,1,0.500000,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.117828,False
