subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,2,1.000000,True
1,D2,arguments,2,,2,1.000000,True
1,D2,arguments,3,,2,0.117174,False
1,D2,arguments,4,,2,0.477721,False
1,D2,arguments,5,,1,0.300828,False
1,D2,arguments,6,,1,0.338916,False
1,D3,outcomes,1,,2,0.820426,True
1,D3,outcomes,2,,2,0.360376,False
1,D3,outcomes,3,,2,0.437001,False
1,D3,outcomes,4,,2,0.380389,False
1,D3,outcomes,5,,2,0.295619,False
1,D3,outcomes,6,,2,0.295619,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,2,gt_precondition,1,0.404103,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.878559,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.888776,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.729071,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.689333,True
1,D1,required_precondition_coverage,7,gt_precondition,1,0.208955,False
1,D1,required_precondition_coverage,8,gt_precondition,1,1.000000,True
2,D2,arguments,1,,1,0.026950,False
2,D2,arguments,2,,1,0.477895,False
2,D2,arguments,3,,1,0.008475,False
2,D2,arguments,4,,1,0.059788,False
2,D3,outcomes,1,,1,0.263782,False
2,D3,outcomes,2,,1,0.253487,False
2,D3,outcomes,3,,1,0.500000,False
2,D3,outcomes,4,,1,0.463988,False
2,D1,required_precondition_coverage,1,previous_outcome,1,0.341437,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.229873,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.300463,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.307968,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.449604,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.210998,False
2,D1,required_precondition_coverage,7,gt_precondition,1,1.000000,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.427845,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.363035,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.450235,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.331172,False
