subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.929745,0.929745,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0 | Increments of the process are independent"
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.922270,0.922270,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0 = 0 by definition | E[X_s] = 0 and E[X_t] = 0 by definition | Cov(X_s,X_t) = min(s,t) by definition"
1,D1,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.929745,0.929745,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0"
1,D1,outcomes,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.472012,0.472012,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",(X_t)_{t\in \R^+} is centered Gaussian
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.379715,0.379715,True,False,,,,,,,The process is therefore centered Gaussian,"X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0 | Increments of the process are independent"
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.352969,0.352969,False,False,,,,,,,The process is therefore centered Gaussian,"X_0 = 0 by definition | E[X_s] = 0 and E[X_t] = 0 by definition | Cov(X_s,X_t) = min(s,t) by definition"
1,D1,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.355336,0.355336,False,False,,,,,,,The process is therefore centered Gaussian,"X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0"
1,D1,outcomes,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.694149,0.694149,True,False,,,,,,,The process is therefore centered Gaussian,(X_t)_{t\in \R^+} is centered Gaussian
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.623173,0.623173,True,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0 | Increments of the process are independent"
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.232095,0.232095,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0 = 0 by definition | E[X_s] = 0 and E[X_t] = 0 by definition | Cov(X_s,X_t) = min(s,t) by definition"
1,D1,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.209049,0.209049,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0 = 0 | E[X_s] = 0 and E[X_t] = 0 for all s,t >= 0 | Cov(X_s,X_t) = min(s,t) for all s,t >= 0"
