subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,3,1.000000,True
1,D2,arguments,2,,4,0.698371,True
1,D2,arguments,3,,5,0.130584,False
1,D2,arguments,4,,3,0.500000,False
1,D2,arguments,5,,2,0.500000,False
1,D2,arguments,6,,3,0.246837,False
1,D3,outcomes,1,,3,0.845318,True
1,D3,outcomes,2,,5,1.000000,True
1,D3,outcomes,3,,4,0.879648,True
1,D3,outcomes,4,,2,0.295189,False
1,D3,outcomes,5,,5,1.000000,True
1,D3,outcomes,6,,5,1.000000,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.551628,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,4,1.000000,True
1,D1,required_precondition_coverage,4,gt_precondition,4,0.752583,True
1,D1,required_precondition_coverage,5,gt_precondition,4,0.615935,True
1,D1,required_precondition_coverage,6,gt_precondition,4,0.297960,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.195096,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,2,0.203291,False
2,D2,arguments,2,,3,1.000000,True
2,D2,arguments,3,,1,0.120798,False
2,D2,arguments,4,,2,0.500000,False
2,D3,outcomes,1,,3,0.608328,True
2,D3,outcomes,2,,3,0.047932,False
2,D3,outcomes,3,,3,0.605224,True
2,D3,outcomes,4,,3,0.219953,False
2,D1,required_precondition_coverage,1,previous_outcome,1,0.300447,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.344880,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.672006,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.347357,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,3,0.265623,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.732822,True
