subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,2,1.000000,True
1,D1,outcomes,2,,2,0.044584,False
1,D1,outcomes,3,,2,0.278849,False
1,D1,outcomes,4,,1,0.232948,False
1,D1,outcomes,5,,2,0.117453,False
1,D1,outcomes,6,,2,0.117453,False
1,D3,arguments,1,,2,0.500000,False
1,D3,arguments,2,,1,0.091719,False
1,D3,arguments,3,,2,0.250359,False
1,D3,arguments,4,,1,0.284908,False
1,D3,arguments,5,,2,0.169946,False
1,D3,arguments,6,,2,0.293029,False
1,D4,required_precondition_coverage,1,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.268469,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,7,gt_precondition,1,0.081384,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.298868,False
2,D1,outcomes,1,,1,0.326343,False
2,D1,outcomes,2,,1,0.067135,False
2,D1,outcomes,3,,3,1.000000,True
2,D1,outcomes,4,,3,0.192225,False
2,D3,arguments,1,,1,1.000000,True
2,D3,arguments,2,,1,1.000000,True
2,D3,arguments,3,,2,0.149202,False
2,D3,arguments,4,,1,0.500000,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.262761,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.273185,False
2,D4,required_precondition_coverage,4,previous_outcome,2,0.075303,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D4,required_precondition_coverage,7,gt_precondition,2,1.000000,True
2,D4,required_precondition_coverage,8,gt_precondition,2,0.348117,False
2,D4,required_precondition_coverage,9,gt_precondition,2,0.500000,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D4,required_precondition_coverage,11,gt_precondition,2,0.398213,False
2,D4,required_precondition_coverage,12,gt_precondition,2,0.382141,False
