language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
fr,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.821965,0.355000,0.355000,True,True,True,$W_t$ est un mouvement brownien.,W est un mouvement brownien standard.
fr,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.360952,0.355000,0.355000,True,True,True,$W_t$ est un mouvement brownien.,Le processus W est un processus de Wiener.
fr,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.518043,0.355000,0.355000,True,False,False,$W_t$ est un mouvement brownien.,Le mouvement brownien possède des accroissements gaussiens indépendants et stationnaires.
fr,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.584059,0.355000,0.355000,True,False,False,$W_t$ est un mouvement brownien.,Les trajectoires d'un mouvement brownien sont presque sûrement continues.
fr,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,-0.013299,0.355000,0.355000,False,False,True,$W_t$ est un mouvement brownien.,Le déterminant d'une matrice triangulaire est le produit de ses éléments diagonaux.
fr,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.056466,0.355000,0.355000,False,False,True,$W_t$ est un mouvement brownien.,Toute fonction continue sur un segment atteint son maximum.
fr,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.452483,0.355000,0.355000,True,True,True,Le processus est donc gaussien centré.,Le processus est gaussien et son espérance est nulle.
fr,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.535097,0.355000,0.355000,True,True,True,Le processus est donc gaussien centré.,Toutes ses lois de dimension finie sont gaussiennes centrées.
fr,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.614063,0.355000,0.355000,True,False,False,Le processus est donc gaussien centré.,Un processus gaussien est déterminé par sa moyenne et sa fonction de covariance.
fr,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.679977,0.355000,0.355000,True,False,False,Le processus est donc gaussien centré.,Un mouvement brownien est un processus gaussien centré.
fr,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.047999,0.355000,0.355000,False,False,True,Le processus est donc gaussien centré.,Un nombre premier possède exactement deux diviseurs positifs.
fr,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.201769,0.355000,0.355000,False,False,True,Le processus est donc gaussien centré.,La dérivée d'une fonction constante est nulle.
fr,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.660065,0.355000,0.355000,True,True,True,Le brownien standard a des accroissements gaussiens,Les accroissements du mouvement brownien suivent des lois normales.
fr,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.226939,0.355000,0.355000,False,True,False,Le brownien standard a des accroissements gaussiens,"Pour s inférieur à t, la variable W_t moins W_s est gaussienne."
fr,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,1,0.433861,0.355000,0.355000,True,False,False,Le brownien standard a des accroissements gaussiens,Les accroissements sur des intervalles disjoints sont indépendants.
fr,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,2,0.698038,0.355000,0.355000,True,False,False,Le brownien standard a des accroissements gaussiens,La variance d'un accroissement brownien dépend de la longueur de l'intervalle.
fr,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.104606,0.355000,0.355000,False,False,True,Le brownien standard a des accroissements gaussiens,Les valeurs propres d'une matrice diagonale sont ses éléments diagonaux.
fr,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.468722,0.355000,0.355000,True,False,False,Le brownien standard a des accroissements gaussiens,Une suite croissante et majorée est convergente.
fr,sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.526116,0.355000,0.355000,True,True,True,les incréments disjoints sont indépendants,Les accroissements correspondant à des intervalles disjoints sont indépendants.
fr,sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.433347,0.355000,0.355000,True,True,True,les incréments disjoints sont indépendants,Les variations du processus sur des intervalles sans intersection sont indépendantes.
fr,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,1,0.065358,0.355000,0.355000,False,False,True,les incréments disjoints sont indépendants,Les accroissements browniens sont des variables gaussiennes.
fr,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,2,0.126637,0.355000,0.355000,False,False,True,les incréments disjoints sont indépendants,Le mouvement brownien possède des accroissements stationnaires.
fr,sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.058005,0.355000,0.355000,False,False,True,les incréments disjoints sont indépendants,Le théorème du rang relie la dimension du noyau et celle de l'image.
fr,sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.205892,0.355000,0.355000,False,False,True,les incréments disjoints sont indépendants,Une fonction convexe est située sous chacune de ses cordes.
