subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,1,0.202523,False
1,D2,arguments,3,,1,0.115872,False
1,D2,arguments,4,,1,0.500000,False
1,D2,arguments,5,,1,0.245997,False
1,D2,arguments,6,,1,0.404087,False
1,D3,outcomes,1,,1,0.474725,False
1,D3,outcomes,2,,1,0.297806,False
1,D3,outcomes,3,,1,0.419483,False
1,D3,outcomes,4,,1,0.500000,False
1,D3,outcomes,5,,1,0.500000,False
1,D3,outcomes,6,,1,0.500000,False
1,D1,required_precondition_coverage,1,gt_precondition,1,1.000000,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.462826,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.889382,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.724858,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.704192,True
1,D1,required_precondition_coverage,7,gt_precondition,1,0.281743,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.399721,False
2,D2,arguments,2,,2,0.500000,False
2,D2,arguments,3,,1,0.190665,False
2,D2,arguments,4,,1,0.500000,False
2,D3,outcomes,1,,1,1.000000,True
2,D3,outcomes,2,,1,0.147669,False
2,D3,outcomes,3,,1,0.500000,False
2,D3,outcomes,4,,1,0.275209,False
2,D1,required_precondition_coverage,1,previous_outcome,2,0.278142,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D1,required_precondition_coverage,3,previous_outcome,2,0.310248,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.421505,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.450034,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.465071,False
2,D1,required_precondition_coverage,9,gt_precondition,2,0.477321,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.365711,False
2,D1,required_precondition_coverage,12,gt_precondition,2,0.710398,True
