subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.327560,0.327560,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Properties of Brownian Motion and stochastic differential equations (SDEs)
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.870729,0.870729,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",Expected value of $W_\tau$
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.386667,0.386667,True,False,,,,,,,$W_t$ is a Brownian Motion.,The stopping time $\tau$ is bounded.
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.968547,0.968547,True,False,,,,,,,$\tau$ is a bounded stopping time,The stopping time $\tau$ is bounded.
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.418280,0.418280,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,The stopping time $\tau$ is bounded.
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.962530,0.962530,True,False,,,,,,,$\tau$ is a bounded stopping time.,The stopping time $\tau$ is bounded.
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.380586,0.380586,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Properties of Brownian Motion and Conditional Expectation
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.882493,0.882493,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_tau^2)
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.668543,0.668543,True,False,,,,,,,$W_t$ is a Brownian Motion.,Brownian Motion Definition | Conditional Expectation
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.240886,0.240886,False,False,,,,,,,$\tau$ is a bounded stopping time,Brownian Motion Definition | Conditional Expectation
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.433524,0.433524,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",Brownian Motion Definition | Conditional Expectation
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.391714,0.391714,True,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Brownian Motion Definition | Conditional Expectation
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.257874,0.257874,False,False,,,,,,,$\tau$ is a bounded stopping time.,Brownian Motion Definition | Conditional Expectation
