status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,D2_total_constraints,D2_respected_constraints,D2_violated_constraints,D2_unmatched_constraints,overall_mean_score,overall_with_D2_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,self,deepseek-r1-1.5b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.341298,0.200000,0.666667,0.307692,0.456301,0.400000,0.500000,0.444444,0.419434,0.200000,1.000000,0.333333,0.000000,0.000000,0.000000,6,0,0,6,0.405678,0.304258,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/ch/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc2_q1_self
ok,,pc4_q4,self,deepseek-r1-1.5b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.855100,1.000000,1.000000,1.000000,0.512931,0.500000,0.166667,0.250000,0.591652,0.444444,0.500000,0.470588,1.000000,1.000000,1.000000,0,0,0,0,0.653227,0.739921,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/ch/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_self
ok,,pc2_q1,acc,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.321809,0.100000,0.333333,0.153846,0.341520,0.100000,0.333333,0.153846,0.484144,0.350000,1.000000,0.518519,0.000000,0.000000,0.000000,6,0,0,6,0.382491,0.286868,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.470825,0.300000,0.666667,0.413793,0.354546,0.000000,0.000000,0.000000,0.515389,0.350000,1.000000,0.518519,0.000000,0.000000,0.000000,6,0,0,6,0.446920,0.335190,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_gtf
ok,,pc2_q1,self,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.538873,0.300000,0.666667,0.413793,0.433786,0.300000,0.666667,0.413793,0.515320,0.450000,1.000000,0.620690,1.000000,0.166667,0.166667,6,1,0,5,0.495993,0.413661,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_self
ok,,pc2_q1,seq,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.419021,0.200000,0.666667,0.307692,0.293832,0.100000,0.333333,0.153846,0.479722,0.300000,1.000000,0.461538,0.000000,0.000000,0.000000,6,0,0,6,0.397525,0.298144,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_seq
ok,,pc4_q4,acc,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.917620,1.000000,1.000000,1.000000,0.706243,1.000000,1.000000,1.000000,0.602909,0.444444,1.000000,0.615385,1.000000,1.000000,1.000000,0,0,0,0,0.742258,0.806693,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.942948,1.000000,1.000000,1.000000,0.658829,1.000000,1.000000,1.000000,0.646842,0.444444,1.000000,0.615385,1.000000,1.000000,1.000000,0,0,0,0,0.749540,0.812155,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.854367,1.000000,1.000000,1.000000,0.591991,0.500000,0.333333,0.400000,0.706164,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.717507,0.788131,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-7b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.915631,1.000000,1.000000,1.000000,0.723358,1.000000,1.000000,1.000000,0.646842,0.444444,1.000000,0.615385,1.000000,1.000000,1.000000,0,0,0,0,0.761944,0.821458,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/ch/baseline/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/deepseek-r1-7b/pc4_q4_seq
ok,,pc2_q1,acc,llama3.1-8b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.425732,0.400000,0.900000,0.553846,0.419705,0.200000,0.200000,0.200000,0.595885,0.400000,0.700000,0.509091,0.000000,0.000000,0.000000,6,0,0,6,0.480441,0.360331,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/ch/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/llama3.1-8b/pc2_q1_acc
ok,,pc2_q1,self,llama3.1-8b,ch,baseline,sentence-transformers/all-MiniLM-L6-v2,0.580000,,,,2,2,0.323312,0.200000,0.400000,0.266667,0.250433,0.000000,0.000000,0.000000,0.519855,0.350000,0.800000,0.486957,0.000000,0.000000,0.000000,6,0,0,6,0.364533,0.273400,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/ch/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/ch/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/ch/baseline/embedding_only/matrices/llama3.1-8b/pc2_q1_self
