subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.392969,False
1,D1,outcomes,2,,1,1.000000,True
1,D1,outcomes,3,,1,0.500000,False
1,D1,outcomes,4,,1,0.500000,False
1,D1,outcomes,5,,1,0.500000,False
1,D1,outcomes,6,,1,0.500000,False
1,D3,arguments,1,,5,0.500000,False
1,D3,arguments,2,,3,0.348585,False
1,D3,arguments,3,,2,0.223300,False
1,D3,arguments,4,,5,1.000000,True
1,D3,arguments,5,,2,0.340703,False
1,D3,arguments,6,,4,0.330751,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.344387,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.175043,False
1,D4,required_precondition_coverage,3,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.301702,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.242055,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.396363,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.081384,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.239954,False
2,D1,outcomes,1,,1,1.000000,True
2,D1,outcomes,2,,3,0.000000,False
2,D1,outcomes,3,,1,0.281199,False
2,D1,outcomes,4,,3,0.000000,False
2,D3,arguments,1,,2,0.250504,False
2,D3,arguments,2,,3,0.387661,False
2,D3,arguments,3,,3,0.203463,False
2,D3,arguments,4,,1,0.340985,False
2,D4,required_precondition_coverage,1,previous_outcome,2,0.357002,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.273185,False
2,D4,required_precondition_coverage,4,previous_outcome,3,0.012810,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D4,required_precondition_coverage,7,gt_precondition,2,1.000000,True
2,D4,required_precondition_coverage,8,gt_precondition,2,0.205775,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.342113,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.365711,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.323372,False
