subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.820437,1.000000,True,True,equivalent,1.000000,Same mathematical expression for the expected value of W_tau.,1b9db7304c1ff2670aaf445739e76462dc20f95e3c825a894d14cb5a2c97c8d4,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ)
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement describes properties of a Brownian Motion.",dba94e1394184683568292b581e0c14e80435780ca8f0d00709eec2e79f26633,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same wording and notation used.,2a458332fafb7d95b3499bb81c8a4f6565762f8f6d00cfce919a7030b3d6d02b,True,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.363890,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale process.",01b6c56cb9a4b8839c7c75391b70e90b4fbab96d663d1630796915b902048e8b,True,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same wording and notation.,98d82c1c8ca8257634a9f44a266bacdd285d5de265d784ae50529a3ed9765a06,True,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.878664,0.000000,False,True,unrelated,1.000000,"Model statement is a trivially false equation, while ground-truth statement is a non-trivial mathematical identity.",3abb4291d684782f71a494af94c857c4976299d93a7d2fff26c3cb8741ff001d,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],\E(W_\tau^2) = 0
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.641778,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specific application context.,2f28e96270e8984393a67d195190431501f9fc2c2ac1d25cd80b0449c4a11702,True,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Doob's optional stopping theorem
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.769629,0.000000,False,True,unrelated,0.800000,"The model statement discusses a probability, while the ground-truth statement describes a stochastic process property.",07b350cca7ac2ad8192b47d961adba64e4797976782d1d95a8444efd767511a4,False,,$W_t$ is a Brownian Motion.,P(\tau>t) = 0 for all t\in \mathbb{R} | (W_t)_{t\geq 0} is a martingale
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.540492,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is weaker, as it only considers the probability of exceeding t, whereas the ground-truth statement asserts that τ is bounded.",4e07c05a8b77aebda9e8d24180e62b80be403900b240d37c22f2959a90bc2d73,False,,$\tau$ is a bounded stopping time,P(\tau>t) = 0 for all t\in \mathbb{R} | (W_t)_{t\geq 0} is a martingale
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.636636,0.000000,False,True,unrelated,0.800000,"The model statement discusses a probability, while the ground-truth statement is an expectation.",48e90672cd33ecf156d89ea83a3622ab00aef8b4b935640a3c069cddd7347438,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",P(\tau>t) = 0 for all t\in \mathbb{R} | (W_t)_{t\geq 0} is a martingale
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.863490,0.000000,False,True,unrelated,0.800000,"The model statement discusses a different probability, P(\tau>t), whereas the ground-truth statement concerns the process (W_t^2-t)_{t\geq 0}.",19aafbf7f2760b0c2246c6d2a1ef053391325cb50d9b9befe2fa295e0cad745a,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,P(\tau>t) = 0 for all t\in \mathbb{R} | (W_t)_{t\geq 0} is a martingale
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.541501,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is weaker, as it only considers the probability of exceeding t, whereas the ground-truth statement makes a stronger assertion about boundedness.",617e1819784e40857749d5b521d91f188c93dafa7276c1082f97f97bc08671f8,False,,$\tau$ is a bounded stopping time.,P(\tau>t) = 0 for all t\in \mathbb{R} | (W_t)_{t\geq 0} is a martingale
