status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,D4_total_constraints,D4_respected_constraints,D4_violated_constraints,D4_unmatched_constraints,overall_mean_score,overall_with_D4_score,prediction_path,ground_truth_path,output_dir
ok,,pc4_q4,gtf,deepseek-r1-1.5b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.859064,1.000000,1.000000,1.000000,0.569832,1.000000,1.000000,1.000000,0.894175,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.774357,0.830768,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_quant_expert/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-1.5b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.854566,1.000000,1.000000,1.000000,0.587841,1.000000,1.000000,1.000000,0.849594,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.764000,0.823000,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_quant_expert/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-1.5b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.864643,1.000000,1.000000,1.000000,0.244211,0.500000,0.500000,0.500000,0.542847,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,0,0,0,0,0.550567,0.662925,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_quant_expert/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_seq
ok,,pc2_q1,acc,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.502449,0.650000,1.000000,0.787879,0.315019,0.300000,0.285714,0.292683,0.446544,0.600000,0.857143,0.705882,0.000000,0.000000,0.000000,6,0,0,6,0.421337,0.316003,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.427361,0.550000,1.000000,0.709677,0.265338,0.300000,1.000000,0.461538,0.444772,0.600000,0.666667,0.631579,0.000000,0.000000,0.000000,6,0,0,6,0.379157,0.284368,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc2_q1_gtf
ok,,pc2_q1,self,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.487309,0.700000,1.000000,0.823529,0.308256,0.300000,1.000000,0.461538,0.431081,0.600000,1.000000,0.750000,0.000000,0.000000,0.000000,6,0,0,6,0.408882,0.306661,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc2_q1_self
ok,,pc2_q1,seq,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.478094,0.700000,1.000000,0.823529,0.308256,0.300000,1.000000,0.461538,0.431081,0.600000,1.000000,0.750000,0.000000,0.000000,0.000000,6,0,0,6,0.405810,0.304358,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc2_q1_seq
ok,,pc4_q4,acc,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.854235,1.000000,1.000000,1.000000,0.632700,1.000000,1.000000,1.000000,0.891963,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.792966,0.844725,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.841167,1.000000,1.000000,1.000000,0.632700,1.000000,1.000000,1.000000,0.886964,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.786944,0.840208,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.712063,0.777778,1.000000,0.875000,0.626287,1.000000,1.000000,1.000000,0.875931,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.738094,0.803570,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-7b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.869911,1.000000,1.000000,1.000000,0.649516,1.000000,1.000000,1.000000,0.910193,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.809873,0.857405,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/role_quant_expert/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/deepseek-r1-7b/pc4_q4_seq
ok,,pc2_q1,acc,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.487309,0.700000,1.000000,0.823529,0.383640,0.500000,1.000000,0.666667,0.431081,0.600000,1.000000,0.750000,0.000000,0.000000,0.000000,6,0,0,6,0.434010,0.325507,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc2_q1_acc
ok,,pc2_q1,gtf,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.445787,0.600000,1.000000,0.750000,0.303846,0.300000,0.400000,0.342857,0.544870,0.800000,1.000000,0.888889,1.000000,0.166667,0.166667,6,1,0,5,0.431501,0.365292,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc2_q1_gtf
ok,,pc2_q1,self,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.386912,0.550000,1.000000,0.709677,0.358914,0.400000,0.750000,0.521739,0.480465,0.700000,1.000000,0.823529,1.000000,0.166667,0.166667,6,1,0,5,0.408764,0.348239,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc2_q1_self
ok,,pc2_q1,seq,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.360965,0.500000,1.000000,0.666667,0.318184,0.500000,0.750000,0.600000,0.530882,0.700000,1.000000,0.823529,1.000000,0.166667,0.166667,6,1,0,5,0.403343,0.344174,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc2_q1_seq
ok,,pc4_q4,acc,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.683886,0.777778,1.000000,0.875000,-0.051735,0.000000,0.000000,0.000000,0.908604,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.513585,0.635189,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc4_q4_acc
ok,,pc4_q4,gtf,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.716118,0.777778,0.750000,0.763636,0.224285,0.500000,0.250000,0.333333,0.827736,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.589380,0.692035,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc4_q4_gtf
ok,,pc4_q4,self,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.605158,0.555556,1.000000,0.714286,-0.051735,0.000000,0.000000,0.000000,0.683871,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.412431,0.559323,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc4_q4_self
ok,,pc4_q4,seq,llama3.1-8b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.599238,0.555556,1.000000,0.714286,-0.051735,0.000000,0.000000,0.000000,0.695344,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.414282,0.560712,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/role_quant_expert/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.1-8b/pc4_q4_seq
ok,,pc2_q1,acc,llama3.2-1b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.425755,0.600000,1.000000,0.750000,0.306493,0.400000,0.666667,0.500000,0.323039,0.200000,0.666667,0.307692,0.000000,0.000000,0.000000,6,0,0,6,0.351762,0.263822,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_quant_expert/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.2-1b/pc2_q1_acc
ok,,pc2_q1,gtf,llama3.2-1b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.571665,0.850000,1.000000,0.918919,0.322033,0.300000,0.500000,0.375000,0.451940,0.700000,0.875000,0.777778,0.000000,0.000000,0.000000,6,0,0,6,0.448546,0.336410,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_quant_expert/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.2-1b/pc2_q1_gtf
ok,,pc2_q1,self,llama3.2-1b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.485049,0.700000,1.000000,0.823529,0.240653,0.300000,1.000000,0.461538,0.415530,0.500000,1.000000,0.666667,0.000000,0.000000,0.000000,6,0,0,6,0.380411,0.285308,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_quant_expert/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.2-1b/pc2_q1_self
ok,,pc2_q1,seq,llama3.2-1b,en,role_quant_expert,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.403966,0.500000,1.000000,0.666667,0.322049,0.300000,0.400000,0.342857,0.453601,0.600000,0.800000,0.685714,0.000000,0.166667,0.000000,6,0,1,5,0.393205,0.294904,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_quant_expert/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/role_quant_expert/embedding_only/matrices/llama3.2-1b/pc2_q1_seq
