subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,3,0.467029,False
1,D1,outcomes,2,,1,0.612330,True
1,D1,outcomes,3,,1,0.475694,False
1,D1,outcomes,4,,2,0.613184,True
1,D1,outcomes,5,,1,0.718736,True
1,D1,outcomes,6,,1,0.718736,True
1,D3,arguments,1,,3,0.587631,True
1,D3,arguments,2,,1,0.412544,False
1,D3,arguments,3,,1,0.121318,False
1,D3,arguments,4,,1,0.440725,False
1,D3,arguments,5,,3,0.278212,False
1,D3,arguments,6,,3,0.329032,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.657587,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.562450,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.637096,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.542223,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.704192,True
1,D4,required_precondition_coverage,7,gt_precondition,2,0.714786,True
1,D4,required_precondition_coverage,8,gt_precondition,1,0.555221,False
2,D1,outcomes,1,,1,0.435409,False
2,D1,outcomes,2,,1,0.204119,False
2,D1,outcomes,3,,1,0.538815,False
2,D1,outcomes,4,,1,0.332033,False
2,D3,arguments,1,,1,0.245020,False
2,D3,arguments,2,,1,0.529495,False
2,D3,arguments,3,,1,0.071931,False
2,D3,arguments,4,,1,0.329538,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.341437,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.229873,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.300463,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.307968,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.449604,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.210998,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.663509,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.523858,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.427845,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.363035,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.450235,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.331172,False
