subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,2,0.489987,True
1,D2,arguments,2,,2,0.362424,False
1,D2,arguments,3,,2,-0.027431,False
1,D2,arguments,4,,2,0.230944,False
1,D2,arguments,5,,1,0.189591,False
1,D2,arguments,6,,2,0.248020,False
1,D3,outcomes,1,,1,0.804829,True
1,D3,outcomes,2,,2,0.499209,True
1,D3,outcomes,3,,1,0.223376,False
1,D3,outcomes,4,,1,0.308627,False
1,D3,outcomes,5,,2,0.537139,True
1,D3,outcomes,6,,2,0.537139,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.604890,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.478009,True
1,D1,required_precondition_coverage,3,gt_precondition,2,0.394631,True
1,D1,required_precondition_coverage,4,gt_precondition,2,0.896349,True
1,D1,required_precondition_coverage,5,gt_precondition,2,0.744860,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.120078,False
1,D1,required_precondition_coverage,7,gt_precondition,2,0.116444,False
1,D1,required_precondition_coverage,8,gt_precondition,2,0.335636,False
2,D2,arguments,1,,1,0.431922,True
2,D2,arguments,2,,1,0.199058,False
2,D2,arguments,3,,1,-0.023052,False
2,D2,arguments,4,,1,0.444242,True
2,D3,outcomes,1,,1,0.526433,True
2,D3,outcomes,2,,1,0.177415,False
2,D3,outcomes,3,,1,0.555068,True
2,D3,outcomes,4,,1,0.589126,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.373537,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.397291,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.163082,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.138180,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.269771,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.626761,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.535408,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.287758,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.280655,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.378229,True
2,D1,required_precondition_coverage,11,gt_precondition,1,0.401946,True
2,D1,required_precondition_coverage,12,gt_precondition,1,0.082545,False
