subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.030867,False
1,D1,outcomes,2,,1,-0.029125,False
1,D1,outcomes,3,,1,0.038774,False
1,D1,outcomes,4,,1,0.036678,False
1,D1,outcomes,5,,1,-0.067282,False
1,D1,outcomes,6,,1,-0.067282,False
1,D3,arguments,1,,1,0.414833,False
1,D3,arguments,2,,1,0.274171,False
1,D3,arguments,3,,1,0.009262,False
1,D3,arguments,4,,1,0.332808,False
1,D3,arguments,5,,1,0.288747,False
1,D3,arguments,6,,1,0.310485,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.620238,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.524831,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.950525,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.750645,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.200690,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.418482,True
2,D1,outcomes,1,,1,0.641631,True
2,D1,outcomes,2,,1,0.206374,False
2,D1,outcomes,3,,1,0.520323,True
2,D1,outcomes,4,,1,0.610051,True
2,D3,arguments,1,,1,0.622661,True
2,D3,arguments,2,,1,0.206050,False
2,D3,arguments,3,,1,0.026137,False
2,D3,arguments,4,,1,0.644827,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.369498,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.339931,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.195700,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.151679,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.284686,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.625245,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.545621,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.259338,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.309179,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.329983,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.380775,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.125759,False
3,D4,required_precondition_coverage,1,previous_outcome,1,0.406468,False
3,D4,required_precondition_coverage,2,previous_outcome,1,0.240473,False
3,D4,required_precondition_coverage,3,previous_outcome,1,0.063879,False
3,D4,required_precondition_coverage,4,previous_outcome,1,0.126188,False
3,D4,required_precondition_coverage,5,previous_outcome,1,0.175942,False
3,D4,required_precondition_coverage,6,previous_outcome,1,0.454628,True
3,D4,required_precondition_coverage,7,previous_outcome,1,0.442062,True
3,D4,required_precondition_coverage,8,previous_outcome,1,0.025419,False
3,D4,required_precondition_coverage,9,previous_outcome,1,0.495462,True
3,D4,required_precondition_coverage,10,previous_outcome,1,0.417224,True
