subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.674436,0.674436,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.696243,0.696243,True,False,,,,,,,The process is therefore centered Gaussian,"X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.209830,0.209830,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.276378,0.276378,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.377225,1.000000,True,True,equivalent,1.000000,Same definition of Brownian motion is given.,093b45d41b73609ba7017e8724ea1c21f2209647ef355da9c35aa8e88e314f00,False,,the classical definition of Brownian motion.,"X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.377225,1.000000,True,True,equivalent,1.000000,Same definition of Brownian motion is given.,093b45d41b73609ba7017e8724ea1c21f2209647ef355da9c35aa8e88e314f00,True,,the classical definition of Brownian motion.,"X_0 = 0, (X_t)_{t\in \R^+} is a centered Gaussian process, and Cov(X_s, X_t) = inf(s,t)"
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.382967,0.500000,True,True,partially_correct,0.800000,Model statement is broader and does not explicitly mention independence.,4d007f3987f2936c41a23a0f9fc32dd759ef161c64227dbc7e318d1386cd7d2a,True,,Independence of \(X_s\) and \(X_t - X_s\),Brownian motion properties
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.221755,0.221755,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Brownian motion properties
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.027445,0.027445,False,False,,,,,,,Calculation,Brownian motion properties
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.289553,0.289553,False,False,,,,,,,thus the law depends only on \(t-s\),Brownian motion properties
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.207948,0.207948,False,False,,,,,,,plus the assumption of continuity of paths,Brownian motion properties
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.310670,0.310670,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Brownian motion properties
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.604890,0.604890,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.478009,0.478009,True,False,,,,,,,Standard Brownian motion has Gaussian increments,A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.295638,0.295638,False,False,,,,,,,"\(X_0 = 0\),",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.558971,0.558971,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.475445,0.475445,True,False,,,,,,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).",A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.113059,0.113059,False,False,,,,,,,Compute the variance of an increment of $X$,A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,7,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.110106,0.110106,False,False,,,,,,,disjoint increments are independent,A process (X_t)_{t\in \R^+} is a Brownian motion
1,D4,required_precondition_coverage,8,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.313737,0.313737,False,False,,,,,,,"the law of increments is Gaussian centered of variance $t-s$, i.e. \(\mathcal{N}(0, t-s)\),",A process (X_t)_{t\in \R^+} is a Brownian motion
2,D1,outcomes,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.639861,0.639861,True,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,"\( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is a Brownian motion"
2,D1,outcomes,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.212515,0.212515,False,False,,,,,,,thus it is centered Gaussian. \\,"\( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is a Brownian motion"
2,D1,outcomes,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.510487,0.510487,True,False,,,,,,,"i.e. $\mathbb{E}[X_t X_s] = \min(t,s)$. \\","\( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is a Brownian motion"
2,D1,outcomes,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.619174,0.619174,True,False,,,,,,,that \(X\) is a Brownian motion.,"\( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is a Brownian motion"
2,D3,arguments,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.552834,0.552834,True,False,,,,,,,Hence by the law of large numbers for Brownian motion,Properties of Brownian motion and conditional probability
2,D3,arguments,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.189181,0.189181,False,False,,,,,,,is a linear combination of the \(W_{1/t_i}\),Properties of Brownian motion and conditional probability
2,D3,arguments,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.012189,0.012189,False,False,,,,,,,Calculation,Properties of Brownian motion and conditional probability
2,D3,arguments,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.649284,0.649284,True,False,,,,,,,we get by definition of a Brownian motion,Properties of Brownian motion and conditional probability
2,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.411608,0.000000,False,True,unrelated,1.000000,"The model statement discusses a Brownian motion, while the ground-truth statement is about covariance.",bf6aedf3a3549e42282c1743ca3c506e771e169fee9d5c63478108f2d27ee379,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.339661,0.339661,False,False,,,,,,,The process is therefore centered Gaussian,"Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[2]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.206840,0.206840,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[2].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.147948,0.147948,False,False,,,,,,,This shows that the increments are stationary,"Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[2].outcomes[2],subquestions[2].atoms/list[1],previous_outcome,0.306757,0.306757,False,False,,,,,,,"and have law \(\mathcal{N}(0, t-s)\).","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[3]/set[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.574910,0.574910,True,False,,,,,,,the classical definition of Brownian motion.,"Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,7,1,subquestions[2].atoms/set[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.546969,0.546969,True,False,,,,,,,compute $\lim_{t \to 0^+} t W_{1/t}$,"Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,8,1,subquestions[2].atoms/set[2].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.397963,0.500000,True,True,partially_correct,0.800000,Model statement is broader and does not explicitly mention arbitrary time points.,492858a1c94f7eb77b534b5b8f621da96039ac1b9d6af973a95456653a6f5f6b,False,,"For any arbitrary \(t_1, \dots, t_n\), the vector \((X_{t_1}, \dots, X_{t_n})\)","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,9,1,subquestions[2].atoms/set[4].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.445218,0.445218,True,False,,,,,,,"continuity: $\lim_{t \to 0^+} X_t = 0$ a.s.,","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,10,1,subquestions[2].atoms/set[4].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.398874,0.500000,True,True,partially_correct,0.800000,"The model statement describes a specific process, while the ground-truth statement is more general.",26b435392df3afa15ba4ab148852b2b10d73b2befebc9c3c7707cd3096e7e22b,False,,"Gaussianity: the vector \((X_{t_1}, \dots, X_{t_n})\) is centered Gaussian for any set of times","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,11,1,subquestions[2].atoms/set[4].preconditions[3],subquestions[2].atoms/list[1],gt_precondition,0.380811,0.000000,False,True,unrelated,1.000000,"The model statement discusses a different mathematical object (a Brownian motion) and its properties, whereas the ground-truth statement defines covariance for a random process X.",b67ecfac70ba431e9cc3e58e71203596569751d79f8434d59412a6d41073bf96,False,,"covariance: $\mathbb{E}[X_t X_s] = \min(t,s)$,","Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
2,D4,required_precondition_coverage,12,1,subquestions[2].atoms/set[4].preconditions[4],subquestions[2].atoms/list[1],gt_precondition,0.308453,0.308453,False,False,,,,,,,adding \(X_0 = 0\),"Given a Brownian motion \( W_t \), we need to show that \( \{X_t=t\;W_{\frac{1t}, t>0, X_0=0}\} \) is also a Brownian motion."
