subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.414397,0.414397,True,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Equivalence of Brownian motion and covariance conditions
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.243808,0.243808,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Equivalence of Brownian motion and covariance conditions
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.108736,-0.108736,False,False,,,,,,,Calculation,Equivalence of Brownian motion and covariance conditions
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.244973,0.244973,False,False,,,,,,,thus the law depends only on \(t-s\),Equivalence of Brownian motion and covariance conditions
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.231602,0.231602,False,False,,,,,,,plus the assumption of continuity of paths,Equivalence of Brownian motion and covariance conditions
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.262978,0.262978,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Equivalence of Brownian motion and covariance conditions
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.514751,0.514751,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",X_t is a Brownian motion
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.426392,0.426392,True,False,,,,,,,The process is therefore centered Gaussian,X_t is a Brownian motion
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.168197,0.168197,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",X_t is a Brownian motion
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225493,0.225493,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",X_t is a Brownian motion
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.569309,0.569309,True,False,,,,,,,the classical definition of Brownian motion.,X_t is a Brownian motion
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.569309,0.569309,True,False,,,,,,,the classical definition of Brownian motion.,X_t is a Brownian motion
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.558734,0.558734,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.553066,0.553066,True,False,,,,,,,Standard Brownian motion has Gaussian increments,"X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.917187,0.917187,True,False,,,,,,,"\(X_0 = 0\),","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.778871,0.778871,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.722587,0.722587,True,False,,,,,,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
