subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,6,1.000000,True
1,D3,arguments,1,,3,0.722346,True
1,D4,required_precondition_coverage,1,global_assumption,2,0.669728,True
1,D4,required_precondition_coverage,2,local_assumption,1,0.975164,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.500000,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.968297,True
2,D1,outcomes,1,,1,0.833335,True
2,D3,arguments,1,,1,-0.040596,False
2,D4,required_precondition_coverage,1,global_assumption,1,0.348656,False
2,D4,required_precondition_coverage,2,local_assumption,1,0.975164,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.452245,True
2,D4,required_precondition_coverage,4,gt_precondition,1,0.341598,False
2,D4,required_precondition_coverage,5,gt_precondition,1,0.968297,True
