subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.025708,False
1,D2,arguments,2,,1,0.078710,False
1,D2,arguments,3,,1,1.000000,True
1,D2,arguments,4,,1,0.157305,False
1,D2,arguments,5,,1,-0.112936,False
1,D2,arguments,6,,1,0.009087,False
1,D3,outcomes,1,,1,0.514751,True
1,D3,outcomes,2,,1,0.500000,False
1,D3,outcomes,3,,1,0.168197,False
1,D3,outcomes,4,,1,0.225493,False
1,D3,outcomes,5,,1,0.569309,True
1,D3,outcomes,6,,1,0.569309,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.620238,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.524831,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.950525,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.750645,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.200690,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,4,0.647212,True
2,D2,arguments,2,,1,0.500000,False
2,D2,arguments,3,,5,0.366286,False
2,D2,arguments,4,,4,0.754782,True
2,D3,outcomes,1,,7,0.500000,False
2,D3,outcomes,2,,1,0.500000,False
2,D3,outcomes,3,,3,1.000000,True
2,D3,outcomes,4,,7,0.683948,True
2,D1,required_precondition_coverage,1,previous_outcome,6,0.869971,True
2,D1,required_precondition_coverage,2,previous_outcome,7,0.773742,True
2,D1,required_precondition_coverage,3,previous_outcome,3,0.500000,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.223191,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.727945,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.539124,True
2,D1,required_precondition_coverage,10,gt_precondition,7,0.672796,True
2,D1,required_precondition_coverage,11,gt_precondition,6,0.680465,True
2,D1,required_precondition_coverage,12,gt_precondition,7,0.500000,False
