subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,3,0.883019,True
1,D3,arguments,1,,3,0.676285,True
1,D4,required_precondition_coverage,1,global_assumption,1,0.000000,False
1,D4,required_precondition_coverage,2,local_assumption,1,0.000000,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
2,D1,outcomes,1,,1,0.882493,True
2,D3,arguments,1,,4,0.482457,True
2,D4,required_precondition_coverage,1,global_assumption,1,0.000000,False
2,D4,required_precondition_coverage,2,local_assumption,1,0.000000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,5,gt_precondition,1,0.000000,False
