subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.490660,0.490660,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.818220,0.818220,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.376268,0.376268,True,False,,,,,,,The process is therefore centered Gaussian,$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.763763,0.763763,True,False,,,,,,,The process is therefore centered Gaussian,"$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.170039,0.170039,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.174117,0.174117,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.185975,0.185975,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.366019,0.366019,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.544214,0.544214,True,False,,,,,,,the classical definition of Brownian motion.,$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.399468,0.399468,True,False,,,,,,,the classical definition of Brownian motion.,"$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.544214,0.544214,True,False,,,,,,,the classical definition of Brownian motion.,$(X_t)_{t\in \R^+}$ is a Brownian motion
1,D1,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.399468,0.399468,True,False,,,,,,,the classical definition of Brownian motion.,"$X_0=0$ | $(X_t)_{t\in \R^+}$ is a centered Gaussian process | ${\rm Cov}(X_s,X_t)=\inf(s,t)$ for all $s, t \in \R^+$"
