subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.794649,0.000000,False,True,unrelated,1.000000,"Model statement introduces a new variable μ, whereas ground-truth statement refers to the expectation of W_τ directly.",b09e1114a347b5b890072a52d722e8337c6b0f90ceedb9c8d26421c5b471e002,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = μ
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement describes properties of a Brownian Motion.",dba94e1394184683568292b581e0c14e80435780ca8f0d00709eec2e79f26633,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same wording and notation used.,2a458332fafb7d95b3499bb81c8a4f6565762f8f6d00cfce919a7030b3d6d02b,True,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.363890,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale process.",01b6c56cb9a4b8839c7c75391b70e90b4fbab96d663d1630796915b902048e8b,True,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same wording and notation.,98d82c1c8ca8257634a9f44a266bacdd285d5de265d784ae50529a3ed9765a06,True,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.912394,0.000000,False,True,unrelated,0.000000,"Model statement is a constant value, while ground-truth statement is an equation.",213f78e7a4f19399cf96ea99300e585378e315a99d91096a7803f1a84786af7a,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],\E(W_\tau^2) = \frac{1}{2}
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.641778,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specific application context.,2f28e96270e8984393a67d195190431501f9fc2c2ac1d25cd80b0449c4a11702,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Doob's optional stopping theorem
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.965468,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement adds an unnecessary hypothesis about the stopping time.,f1e5a72c3357cedf1e2ef1dfbd15c2cd016f074e7cfa8f8705ac6b295966ad59,False,,$W_t$ is a Brownian Motion.,W_t is a Brownian Motion | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,1.000000,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement adds an unnecessary hypothesis and does not fully express the same mathematical content as the ground-truth statement.,22ce99c649f7099c3e3d4ff6204dd8c3a236f2a9b18d04975f17e15e6c5eee94,False,,$\tau$ is a bounded stopping time,W_t is a Brownian Motion | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.601745,1.000000,True,True,equivalent,1.000000,The model statement directly implies the ground-truth expectation value is zero.,681642bf5d0ce43ede302e563951f2071a6c478610b854485e585e02a76b02bd,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",W_t is a Brownian Motion | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.663880,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement assumes a bounded stopping time, which is not mentioned in the ground-truth statement.",2b0c8a095bff2cac040c235fe18c9adcc6d8c2ca18d0dc165c81f6c6811b97d2,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,W_t is a Brownian Motion | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.989610,1.000000,True,True,equivalent,1.000000,Same mathematical content with additional context.,2381be8b06aa6a27844e86f2b8137d0e338cc5419c17b6645cc0d645a7d2a2c0,False,,$\tau$ is a bounded stopping time.,W_t is a Brownian Motion | $\tau$ is a bounded stopping time
