subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.188017,False
1,D2,arguments,2,,1,0.117425,False
1,D2,arguments,3,,1,0.200740,False
1,D2,arguments,4,,1,0.298251,False
1,D2,arguments,5,,1,0.217144,False
1,D2,arguments,6,,2,0.188687,False
1,D3,outcomes,1,,2,0.434061,False
1,D3,outcomes,2,,4,0.445072,False
1,D3,outcomes,3,,4,0.284948,False
1,D3,outcomes,4,,3,0.313968,False
1,D3,outcomes,5,,3,0.628291,True
1,D3,outcomes,6,,3,0.628291,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.575885,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.397619,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.898064,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.915292,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.768173,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.304276,False
1,D1,required_precondition_coverage,7,gt_precondition,3,0.151070,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.479179,True
2,D2,arguments,1,,1,0.580811,True
2,D2,arguments,2,,1,0.612634,True
2,D2,arguments,3,,2,0.095890,False
2,D2,arguments,4,,1,0.783282,True
2,D3,outcomes,1,,1,0.556706,True
2,D3,outcomes,2,,1,0.198436,False
2,D3,outcomes,3,,1,0.509414,True
2,D3,outcomes,4,,1,0.517861,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.000000,False
