status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,D4_total_constraints,D4_respected_constraints,D4_violated_constraints,D4_unmatched_constraints,overall_mean_score,overall_with_D4_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,self,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.383127,0.350000,1.000000,0.518519,0.528508,0.400000,1.000000,0.571429,0.450072,0.500000,1.000000,0.666667,1.000000,0.166667,0.166667,6,1,0,5,0.453902,0.382094,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/deepseek-r1-7b/pc2_q1_self
ok,,pc4_q4,acc,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.469057,0.444444,1.000000,0.615385,0.682150,1.000000,1.000000,1.000000,0.899352,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.683520,0.762640,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/deepseek-r1-7b/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.469057,0.444444,1.000000,0.615385,0.739054,1.000000,1.000000,1.000000,0.737604,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.648572,0.736429,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/deepseek-r1-7b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.469057,0.444444,1.000000,0.615385,0.623194,1.000000,1.000000,1.000000,0.874481,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.655577,0.741683,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/deepseek-r1-7b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.469057,0.444444,1.000000,0.615385,-0.051735,0.000000,0.000000,0.000000,0.875931,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.431085,0.573313,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/deepseek-r1-7b/pc4_q4_seq
ok,,pc2_q1,acc,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.587348,0.550000,1.000000,0.709677,0.228763,0.200000,1.000000,0.333333,0.520845,0.500000,0.800000,0.615385,0.000000,0.166667,0.000000,6,0,1,5,0.445652,0.334239,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/llama3.1-8b/pc2_q1_acc
ok,,pc2_q1,gtf,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.551076,0.550000,1.000000,0.709677,0.392434,0.400000,1.000000,0.571429,0.628552,0.700000,0.800000,0.746667,1.000000,0.500000,0.500000,6,3,0,3,0.524021,0.518015,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/llama3.1-8b/pc2_q1_gtf
ok,,pc2_q1,self,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.517157,0.450000,1.000000,0.620690,0.500982,0.400000,1.000000,0.571429,0.703259,0.800000,1.000000,0.888889,0.666667,0.500000,0.333333,6,2,1,3,0.573799,0.513683,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/llama3.1-8b/pc2_q1_self
ok,,pc2_q1,seq,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.346762,0.250000,1.000000,0.400000,0.654705,0.600000,1.000000,0.750000,0.423072,0.600000,1.000000,0.750000,1.000000,0.833333,0.833333,6,5,0,1,0.474847,0.564468,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/llama3.1-8b/pc2_q1_seq
ok,,pc4_q4,acc,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,llama3.1:8b,0.275000,0.475000,2,2,0.443757,0.444444,1.000000,0.615385,0.291895,0.500000,0.333333,0.400000,0.822526,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0.519393,0.639544,/home/xinyi.liang/dev_python/llmaths/project/outputs/call1/yaml/llama3.1-8b/en/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/direct_yaml/en/baseline/with_judge/matrices/llama3.1-8b/pc4_q4_acc
