subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.696422,True
1,D2,arguments,2,,1,0.652991,True
1,D2,arguments,3,,1,0.147647,False
1,D2,arguments,4,,1,0.597749,True
1,D2,arguments,5,,1,0.358607,False
1,D2,arguments,6,,1,0.295585,False
1,D3,outcomes,1,,2,0.806120,True
1,D3,outcomes,2,,2,0.736491,True
1,D3,outcomes,3,,2,0.538764,False
1,D3,outcomes,4,,2,0.540272,False
1,D3,outcomes,5,,2,0.514509,False
1,D3,outcomes,6,,2,0.514509,False
1,D1,required_precondition_coverage,1,gt_precondition,2,0.662193,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.637303,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.854415,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.703802,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.716137,True
1,D1,required_precondition_coverage,7,gt_precondition,1,0.459921,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.594238,True
2,D2,arguments,1,,1,-0.021594,False
2,D2,arguments,2,,1,0.424341,False
2,D2,arguments,3,,1,0.008414,False
2,D2,arguments,4,,1,0.048755,False
2,D3,outcomes,1,,1,0.233079,False
2,D3,outcomes,2,,1,-0.051792,False
2,D3,outcomes,3,,1,0.729110,True
2,D3,outcomes,4,,1,0.064005,False
2,D1,required_precondition_coverage,1,previous_outcome,1,0.341437,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.229873,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.300463,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.307968,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.449604,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.210998,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.663509,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.523858,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.427845,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.363035,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.450235,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.331172,False
