subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.865240,0.865240,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.449831,0.449831,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Calculer l'espérance de W_τ
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.411928,0.411928,False,False,,,,,,,$W_t$ est un mouvement brownien.,τ est un temps d'arrêt borné
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.726859,0.726859,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,τ est un temps d'arrêt borné
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.192755,0.192755,False,False,,,,,,,$(W_t)_{t\geq 0}$ est une martingale.,τ est un temps d'arrêt borné
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.732968,0.732968,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e.,τ est un temps d'arrêt borné
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.880851,0.880851,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_\tau^2) = 0
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.448062,0.448062,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob au processus $(W_t^2-t)_{t\geq 0}$ à l'instant $\tau$,Utilisation de la propri\'et\'e de martingale pour le processus brownien
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.343337,0.343337,False,False,,,,,,,$W_t$ est un mouvement brownien.,tau est un temps d'arr\^et born\'e
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.949988,0.949988,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,tau est un temps d'arr\^et born\'e
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.235372,0.235372,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",tau est un temps d'arr\^et born\'e
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.121661,0.121661,False,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ est une martingale.,tau est un temps d'arr\^et born\'e
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.945815,0.945815,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e.,tau est un temps d'arr\^et born\'e
