subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.768107,0.768107,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \int_0^\infty W_s dW_s$
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.379098,0.379098,True,False,,,,,,,$W_t$ is a Brownian Motion.,$\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,1.000000,1.000000,True,False,,,,,,,$\tau$ is a bounded stopping time,$\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.405443,0.405443,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,$\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.989610,0.989610,True,False,,,,,,,$\tau$ is a bounded stopping time.,$\tau$ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.745672,0.745672,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_\tau^2) = \int_0^\infty (1 - e^{-2s})\sigma^2 ds$
2,D1,outcomes,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.737681,0.737681,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_{\tau+h}^2) - \E(W_\tau^2) = \int_0^\infty (W_s - W_\tau)\sigma^2 ds + \int_0^\tau B_u dB_u + \int_{\tau}^{h} (\E(B_u))^2 du$
2,D1,outcomes,1,3,subquestions[2].atoms/list[1],subquestions[2].atoms/list[3],gt_atom,0.668919,0.668919,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\int_0^\infty (W_s - W_\tau)\sigma^2 ds + \int_{\tau}^{h} (\E(B_u))^2 du = \frac{1}{2}\sigma^2 h + h \E(B_h)$
2,D1,outcomes,1,4,subquestions[2].atoms/list[1],subquestions[2].atoms/list[4],gt_atom,0.638698,0.638698,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\int_0^\infty (W_s - W_\tau)\sigma^2 ds = \frac{1}{2}\sigma^2 (\tau-h) + h \E(B_h)$
