subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,score,matched,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.300447,False,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",X_0 = 0
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.468091,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.468091,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.473770,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",Var(X_t) = t
1,D1,outcomes,1,5,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[5],gt_atom,0.421876,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",E[(X_u-X_t)^2] = |u-t|
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.181262,False,The process is therefore centered Gaussian,X_0 = 0
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.309541,False,The process is therefore centered Gaussian,"The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.309541,False,The process is therefore centered Gaussian,"The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.244775,False,The process is therefore centered Gaussian,Var(X_t) = t
1,D1,outcomes,2,5,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[5],gt_atom,0.376917,False,The process is therefore centered Gaussian,E[(X_u-X_t)^2] = |u-t|
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.162084,False,"disjoint increments are uncorrelated, hence independent",X_0 = 0
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.530334,True,"disjoint increments are uncorrelated, hence independent","The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.530334,True,"disjoint increments are uncorrelated, hence independent","The increments are independent: for any 0 <= s < t < u, X_u - X_t is independent of X_s"
1,D1,outcomes,3,4,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[4],gt_atom,0.094914,False,"disjoint increments are uncorrelated, hence independent",Var(X_t) = t
1,D1,outcomes,3,5,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[5],gt_atom,0.113410,False,"disjoint increments are uncorrelated, hence independent",E[(X_u-X_t)^2] = |u-t|
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.266655,False,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",X_0 = 0
