subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.407918,0.407918,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.407918,0.407918,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.574820,0.574820,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = min(s,t) | 当 t>s 时, Cov(X_s,X_t) = s"
1,D2,arguments,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.564283,0.564283,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = min(s,t) | 当 s>t 时, Cov(X_s,X_t) = t"
1,D2,arguments,1,5,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[5],gt_atom,0.574820,0.574820,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = inf(s,t) | 当 t>s 时, Cov(X_s,X_t) = s"
1,D2,arguments,1,6,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[6],gt_atom,0.564283,0.564283,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t) = inf(s,t) | 当 s>t 时, Cov(X_s,X_t) = t"
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.048964,0.048964,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.048964,0.048964,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.189432,0.189432,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = min(s,t) | 当 t>s 时, Cov(X_s,X_t) = s"
1,D2,arguments,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.189550,0.189550,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = min(s,t) | 当 s>t 时, Cov(X_s,X_t) = t"
1,D2,arguments,2,5,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[5],gt_atom,0.189432,0.189432,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = inf(s,t) | 当 t>s 时, Cov(X_s,X_t) = s"
1,D2,arguments,2,6,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[6],gt_atom,0.189550,0.189550,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t) = inf(s,t) | 当 s>t 时, Cov(X_s,X_t) = t"
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.080923,0.080923,False,False,,,,,,,Calculation,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.080923,0.080923,False,False,,,,,,,Calculation,"Cov(X_s,X_t) = E[X_s X_t] - E[X_s]E[X_t] | E[X_s] = 0, E[X_t] = 0"
1,D2,arguments,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.115377,0.115377,False,False,,,,,,,Calculation,"Cov(X_s,X_t) = min(s,t) | 当 t>s 时, Cov(X_s,X_t) = s"
