subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.473622,0.473622,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",Le processus $X_t$ est un mouvement brownien si et seulement si $X_0=0$.
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.488907,0.488907,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",Le processus $X_t$ est un mouvement brownien si et seulement si $(X_t)_{t\in \R^+}$ est un processus gaussien centré.
1,D1,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.713255,0.713255,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","Le processus $X_t$ est un mouvement brownien si et seulement si ${\rm Cov}(X_s,X_t)=\inf(s,t).$"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.370261,0.370261,False,False,,,,,,,Le processus est donc gaussien centré.,Le processus $X_t$ est un mouvement brownien si et seulement si $X_0=0$.
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.559988,0.559988,True,False,,,,,,,Le processus est donc gaussien centré.,Le processus $X_t$ est un mouvement brownien si et seulement si $(X_t)_{t\in \R^+}$ est un processus gaussien centré.
1,D1,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.383461,0.383461,False,False,,,,,,,Le processus est donc gaussien centré.,"Le processus $X_t$ est un mouvement brownien si et seulement si ${\rm Cov}(X_s,X_t)=\inf(s,t).$"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.167561,0.167561,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",Le processus $X_t$ est un mouvement brownien si et seulement si $X_0=0$.
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.237476,0.237476,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",Le processus $X_t$ est un mouvement brownien si et seulement si $(X_t)_{t\in \R^+}$ est un processus gaussien centré.
1,D1,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.264165,0.264165,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants","Le processus $X_t$ est un mouvement brownien si et seulement si ${\rm Cov}(X_s,X_t)=\inf(s,t).$"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.288940,0.288940,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).",Le processus $X_t$ est un mouvement brownien si et seulement si $X_0=0$.
