subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.025708,False
1,D2,arguments,2,,1,0.078710,False
1,D2,arguments,3,,1,1.000000,True
1,D2,arguments,4,,1,0.157305,False
1,D2,arguments,5,,1,-0.112936,False
1,D2,arguments,6,,1,0.009087,False
1,D3,outcomes,1,,1,0.804829,True
1,D3,outcomes,2,,1,0.787809,True
1,D3,outcomes,3,,1,0.223376,False
1,D3,outcomes,4,,1,0.395378,True
1,D3,outcomes,5,,1,0.406688,True
1,D3,outcomes,6,,1,0.406688,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.587489,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.461482,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.288285,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.548745,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.468543,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.108682,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.095972,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.317705,False
2,D2,arguments,1,,1,0.692019,True
2,D2,arguments,2,,1,0.267664,False
2,D2,arguments,3,,1,0.131231,False
2,D2,arguments,4,,1,0.639615,True
2,D3,outcomes,1,,1,0.659754,True
2,D3,outcomes,2,,1,0.204487,False
2,D3,outcomes,3,,1,0.500108,True
2,D3,outcomes,4,,1,0.611610,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.551626,True
2,D1,required_precondition_coverage,2,previous_outcome,1,0.547720,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.433579,True
2,D1,required_precondition_coverage,4,previous_outcome,1,0.308291,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.406624,True
2,D1,required_precondition_coverage,6,previous_outcome,1,0.568790,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.270764,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.457616,True
2,D1,required_precondition_coverage,9,gt_precondition,1,0.362912,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.467829,True
2,D1,required_precondition_coverage,11,gt_precondition,1,0.571785,True
2,D1,required_precondition_coverage,12,gt_precondition,1,0.306070,False
