subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D2,arguments,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.028029,0.028029,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Rewriting
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.757717,0.757717,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \int_{0}^{\tau} \mathbb{P}(W_s > w) dw$
1,D3,outcomes,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.733197,0.733197,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \int_{0}^{\tau} (1 - \mathbb{P}(W_s > w)) dw$
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.348656,0.348656,False,False,,,,,,,$W_t$ is a Brownian Motion.,When $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,1,2,assumption_global[1],subquestions[1].atoms/list[2],global_assumption,0.611635,0.611635,True,False,,,,,,,$W_t$ is a Brownian Motion.,$\E(W_\tau) = \int_{0}^{\tau} \mathbb{P}(W_s > w) dw$
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.975164,0.975164,True,False,,,,,,,$\tau$ is a bounded stopping time,When $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,2,2,subquestions[1].assumptions[1],subquestions[1].atoms/list[2],local_assumption,0.437153,0.437153,True,False,,,,,,,$\tau$ is a bounded stopping time,$\E(W_\tau) = \int_{0}^{\tau} \mathbb{P}(W_s > w) dw$
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.381753,0.381753,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,When $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.668004,0.668004,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,$\E(W_\tau) = \int_{0}^{\tau} \mathbb{P}(W_s > w) dw$
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.968297,0.968297,True,False,,,,,,,$\tau$ is a bounded stopping time.,When $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,4,2,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.439910,0.439910,True,False,,,,,,,$\tau$ is a bounded stopping time.,$\E(W_\tau) = \int_{0}^{\tau} \mathbb{P}(W_s > w) dw$
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,-0.040596,-0.040596,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Calculation
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.822091,0.822091,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_\tau^2) = \sum_{k=1}^\infty \E(W_\tau-kW_0)^2$
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.379098,0.379098,True,False,,,,,,,$W_t$ is a Brownian Motion.,$\tau$ is a bounded stopping time
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,1.000000,1.000000,True,False,,,,,,,$\tau$ is a bounded stopping time,$\tau$ is a bounded stopping time
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.449728,0.449728,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\tau$ is a bounded stopping time
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.357346,0.357346,False,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,$\tau$ is a bounded stopping time
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.989610,0.989610,True,False,,,,,,,$\tau$ is a bounded stopping time.,$\tau$ is a bounded stopping time
