subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,2,1.000000,True
1,D1,outcomes,2,,2,1.000000,True
1,D1,outcomes,3,,2,0.174117,False
1,D1,outcomes,4,,2,1.000000,True
1,D1,outcomes,5,,2,1.000000,True
1,D1,outcomes,6,,2,1.000000,True
1,D3,arguments,1,,1,0.500000,False
1,D3,arguments,2,,1,1.000000,True
1,D3,arguments,3,,2,1.000000,True
1,D3,arguments,4,,1,0.212889,False
1,D3,arguments,5,,1,0.167178,False
1,D3,arguments,6,,1,1.000000,True
1,D4,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.277645,False
1,D4,required_precondition_coverage,3,gt_precondition,2,0.288285,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.136185,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.095972,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.277612,False
2,D1,outcomes,1,,1,0.000000,False
2,D1,outcomes,2,,1,1.000000,True
2,D1,outcomes,3,,1,1.000000,True
2,D1,outcomes,4,,1,1.000000,True
2,D3,arguments,1,,1,0.066607,False
2,D3,arguments,2,,1,0.117893,False
2,D3,arguments,3,,1,1.000000,True
2,D3,arguments,4,,1,-0.054745,False
2,D4,required_precondition_coverage,1,previous_outcome,2,1.000000,True
2,D4,required_precondition_coverage,2,previous_outcome,1,1.000000,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.194047,False
2,D4,required_precondition_coverage,4,previous_outcome,2,0.176466,False
2,D4,required_precondition_coverage,5,previous_outcome,2,1.000000,True
2,D4,required_precondition_coverage,6,previous_outcome,2,1.000000,True
2,D4,required_precondition_coverage,7,gt_precondition,1,1.000000,True
2,D4,required_precondition_coverage,8,gt_precondition,2,0.500000,False
2,D4,required_precondition_coverage,9,gt_precondition,2,0.500000,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,11,gt_precondition,2,1.000000,True
2,D4,required_precondition_coverage,12,gt_precondition,2,0.270389,False
