source_file,language,pc,exercise,subquestion_index,field,atom_path,text
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[1],"Pour \(s \leq t\), on décompose \(X_t = X_s + (X_t - X_s)\)."
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,arguments,subquestions[1].atoms/tuple[1]/list[1],L'indépendance de \(X_s\) et \(X_t - X_s\)
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,outcomes,subquestions[1].atoms/tuple[1]/list[1],"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[2],Le brownien standard a des accroissements gaussiens
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[1]/list[2],"\(X_0 = 0\),"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,arguments,subquestions[1].atoms/tuple[1]/list[2],"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,outcomes,subquestions[1].atoms/tuple[1]/list[2],Le processus est donc gaussien centré.
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[1],"En utilisant la propriété ${\rm Cov}(X_s,X_t)=\inf(s,t).$"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[1],"Calculer $\text{Cov}(X_t - X_s, X_v - X_u)$ Pour \(s < t \leq u < v\)"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[1],Calculation
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[1],"les accroissements disjoints sont non corrélés, donc indépendants"
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[2],Calculez la variance d'un accroissement de $X$
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,arguments,subquestions[1].atoms/tuple[2]/list[2],donc la loi ne dépend que de \(t-s\)
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[2],Ceci montre que les accroissements sont stationnaires et
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,outcomes,subquestions[1].atoms/tuple[2]/list[2],"de loi \(\mathcal{N}(0, t-s)\)."
data/ground_truth/fr/pc2_q1.yaml,fr,2,1,1,preconditions,subquestions[1].atoms/tuple[2]/list[3]/tuple[1],les incréments disjoints sont indépendants
